year,source,target
1666,Peter Jans Slot,Maritie Jacobs
1666,Laurus Andriense,Jannitie Jansz
1666,Ide van de Voorst,Hilletie Jansz
1666,Sjoert Olfertse,Jittje Roels
1666,Christian Peters,Tryntie Cornelis
1666,Ritsert Erle,Elizabeth Erle
1666,Ritsert Erle,Elizabeth Erle
1666,Jan Straetmaker,Geesje Gerritse
1666,Reynier van Giesen,Dirk Cornelis
1666,Reynier van Giesen,Dirk Cornelis
1667,Claes Janse,Annatie Cornelis
1667,Geertie 1 Gerritse,Anna Hermense
1667,Laurus Duyts,Geertie Jansz
1667,Paulus Pieterse,Tryntie Maertens
1667,Hendrick Tonise,Geertie Samuels
1667,Samuel Edsal,Janneke Edsall
1667,Jan Evertse Kerseboom,Geertie Jaspers
1667,Hendrick van de Water,Geertie Vermeulen
1667,Jan Lubberts,Madalena Jansz
1667,Geertie Tysen,Hermptje Hermens
1667,Arien van Laer,Abigail Verplanck
1667,Casper 1 Steynmets,Jannitie Gerritse
1668,Hendrick Reycken,Eytje Jacobs
1668,Thomas 1 Fredricksen,Maritie Ariaens
1668,Tys Lubberts,Tryntie Jansz
1669,Jan Straetmaker,Geesje Gerritse
1669,Peter Jans Slot,Maritie Jacobs
1669,Jan Evertse Kerseboom,Geertie Jaspers
1673,Dirk Janse van Vogsten,Elizabeth Cornelis
1673,Mattheus Cornelis,Anna Lubi
1673,Jan Evertse Kerseboom,Geertie Jaspers
1673,Samuel Edsal,Janneke Edsall
1674,Thomas Steegh,Margriet Steeghs
1675,Hartman Michielse Vreelant,Maritie Dirckse Braack
1675,Geertie 1 Gerritse,Anna Hermense
1676,Elias Michielse,Geertie Jacobs
1676,Pieter Cornelise van Steenwyck,Hendrick Aert
1676,Claes Janse,Annatie Cornelis
1676,Teunis Elisen,Geertie 1 Gerritse
1676,Jan Straetmaker,Geesje Gerritse
1676,Jacob Jacobs,Aeltie Daniels
1676,Simon Jacobs,Annatie Ariaens Sips
1677,Cornelius Barends,Cornelia Hendriksz
1677,William Janse Loserecht,Beletie Tysen
1677,Walingh Jacobs,Catharina Michielse
1677,Helmich Roelofse,Jannitie Pieterse
1677,Hartman Michielse Vreelant,Maritie Dirckse Braack
1677,Peter Hesselse,Elizabeth 1 Gerritse
1678,Geertie 1 Gerritse,Anna Hermense
1678,Arien Pieterse Buys,Tryntie Hendrickse Oosterum
1678,Adriaen 1 Post,Catharina Gerritse
1678,Mattheus Cornelis,Anna Lubi
1678,Staats de Groot,Berber Caspers
1678,Claes Janse,Annatie Cornelis
1678,Simon Jacobs,Annatie Ariaens Sips
1678,Elias Michielse,Geertie Jacobs
1678,Cornelius Roelofse,Madalena van Giesen
1678,Pieter Cornelise van Steenwyck,Hendrick Aert
1678,Geertie van Reene,Achtje Everse
1678,Jacob Jacobs,Aeltie Daniels
1678,Hartman Michielse Vreelant,Maritie Dirckse Braack
1679,Frederick Thomase,Catharina Hoppe
1679,Teunis Roelofse,Tryntie Claese
1679,Hendrick Jorise,Claes Cornelis
1679,Jan Lubberts,Madalena Jansz
1679,David de Maree,Rachel Corsen
1679,Paulus Pieterse,Tryntie Maertens
1679,Jan Cornelis Bogert,Agnietie Streuckers
1679,Gerbrant Claese,Maritie Claese
