year,source,target
1760,Ephraim Wemp,Anganieta Wemple
1760,Ephraim Wemp,Anganieta Wemple
1760,Mathias Link,Maria Magdalena Kraaft
1760,Philip Helmer,Elizabeth Herris
1760,Hendrick Vrooman,Neeltie Veeder
1761,Johannes Veeder,Catharina Mabee
1761,Johannes Leenderson,Anna Stanhouse
1761,William Snoch,Catharina Kleyn
1761,Cornelius Potman,Elizabeth Pruyn
1761,Johannes an Indian,Anna an Indian
1761,Charles a Negro,Susanna Primis
1761,Johan Dederk Meyer,Osseltje Thomas
1761,William Olin,Ariaantie Wemp
1761,Johannes Clement,Rachel Reddely
1761,John Schot Quackenbush,Elsje Staats
1761,Jacob Hall,Elizabeth Snoch
1761,Philip Frederick,Sophia Saltz
1761,Joseph Cain,Catharina Cain
1762,Hendrick Wemp,Eva Van Eps
1762,Johannes Miller,Catharina Philipse
1762,Stephanus Jordan,Margaret Bellony
1762,Jacob Kitts,Eva Service
1762,John Butler,Cataleyna Bradt
1762,Jacob Boosert,Margaret Koch
1762,Hendrick Hoff,Catharina Terrel
1762,Christiaan Schuls,Elizabeth Bierman
1762,Marcus Lies,Magdalena Helmer
1762,Ephraim Wemp,Anganieta Brouwer
1762,William Boin,Catharina V: Antwerp
1762,Jan Boin,Maria Snoch
1762,William Philipse,Susanna Wemp
1763,Frans Prun,Annatie Davis
1763,Johannes Van Antwerp,Annatie Veeder
1763,Thomas Cain,Maria Jong
1763,Samuel Gardinier,Maria Van Everen
1762,Peter Quackenbush,Elizabeth Davis
1763,David De Welt,Maria De Welden
1763,Philip Miller,Anna Visbach
1763,Philip Weemer,Catharina Lyser
1763,Jelles Fonda,Annatie Vrooman
1763,Peter Conyn,Rebecca Wemp
1763,Paulus de Fransman,Christina de Fransman
1763,Timothy Leenderson,Bata Marinus
1763,Johan Dederk Meyer,Osseltje Thomas
1763,Philip Philipse,Elizabeth Wanner
1763,Gerrit Van Brakelen,Maria Van Brakelen
1764,Jury Fey,Anna Catarina Visbach
1764,John Butler,Cataleyna Bradt
1764,Adam Fonda,Neeltie Bries
1764,Johannes Leenderson,Anna Stanhouse
1764,John Hare,Margaret Davis
1764,Philip Miller,Anna Visbach
1764,Peter Grosch,Anna Eva Saltz
1764,Laurens Stam,Elizabeth Stam
1764,Philip Scoefer,Elizabeth Anstes
1764,John Schot Quackenbush,Elsje Staats
1764,Hendrick Vrooman,Neeltie Veeder
1764,Barent Wemp,Margaret Fonda
1764,William Olin,Ariaantie Wemp
1764,Philip Frederick,Sophia Saltz
1764,Volkert Veeder,Elizabeth Smith
1764,Cornelius Potman,Elizabeth Pruyn
1765,Lucas Veeder,Maria Eva Bel
1765,Peter Quackenbush,Elizabeth Davis
1765,Johannes Regtmeyer,Geertruy Coonraet
1765,Jury Schenk,Magdalena Spendeler
1765,Hendrick Wemp,Eva Van Eps
1765,Ambrosius Selnaar,Margaret Schefin
1765,Casper Coens,Catharina Coens
1765,Ludwig Potman,Elizabeth Potman
1765,Jacob Neef,Catharina Angst
1765,Benazar Bedel,Sarah Van Deventer
1765,Harmen Brouwer,Margaret Ekker
1765,Ambrosius Selnaar,Margaret Fieze
1765,Jelles Fonda,Annatie Vrooman
-1769,Gerrit Van Brakelen,Annatie Kitts
-1769,Philip Sceffer,Elizabeth Anstes
-1769,Conrad Mouer,Geertruy Smith
-1769,Samuel Rogers,Elizabeth Anstes
-1769,John Wilson,Barbera Tiefendorf
-1769,Hendrick Wemp,Eva Van Eps
-1769,Gerrit Van Brakelen,Maria Van Brakelen
-1769,Peter Hansen,Rachel Fonda
-1769,Johannes Miller,Catharina Philipse
-1769,Hendrick Vrooman,Neeltie Veeder
-1769,Edward Foster,Maria Gerryty
-1769,Philip Miller,Anna Visbach
-1769,Barent Wemp,Margaret Fonda
1770,William Mombrute,Maria Freest
1770,Timothy Leenderson,Bata Marinus
1770,Peter Quackenbush,Lena Leenderson
1770,Abraham Van Aalstyn,Catye Vallae
1770,Renier Van Everen,Neeltie Van Eps
