year,source,target
1743,Henrich Kniskern,Elisabeth Kniskern
1743,Johannes Ingold,Anna Margaretha Ingold
1743,Andreas Besinger,Maria Elisabeth Besinger
1743,Matthes Werner,Maria Barbara Wernern
1743,Johannes Neuberg,Elisabeth Neubergen
1743,Getfried Kniskern,Anna Margaretha Kniskern
1743,Johannes Schafer,Anna Gertraut Schafern
1743,Jacob Sternberg,Eva Sternberg
1743,Gerhard Misselis,Catharina Misselis
1743,Adam Braun,Eva Braun
1743,Christian Bauch,Christina Liese Bauchen
1743,Hieronymus Krausler,Maria Margareth
1744,Jurgen Henrich Stubrach,Maria Margareth
1744,Johannes Emche,Elisabet Emche
1744,Friederich Schnel,Anna Maria Schnell
1744,Henrich Dillenbach,Anna Margaretha Dillenbach
1744,Johan Wilhelm Casselman,Margaretha Casselman
1744,Jacob Merckel,Anna Maria Merckeln
1744,Johan Wilhelm Bauch,Anna Elisabeth Bauchen
1744,Johannes Nicolaus Lahm,Susanna Margaretha Lahm
1744,Johannes Bauch,Anna Elisabeth Bauchen
1744,Wilhelm Morrasen,Sara Morrissen
1744,Jaocb Christmann,Catharina Christman
1744,Henrich Eckler,Margareta Eckler
1744,James Dillenbach,Anna Margaretha Dillenbach
1744,Peter Mann,Anna Margaretha Mann
1744,Rudolph Affenbach,Elisabeth Affenbach
1744,Johannes Neuberg,Elisabeth Neubergen
1744,Getfried Kniskern,Anna Margaretha Kniskern
1744,Johannes Schafer,Anna Gertraut Schafern
1744,Jacob Sternberg,Eva Sternberg
1744,Adam Braun,Eva Braun
1744,Christian Bauch,Christina Liese Bauchen
1744,Hieronymus Krausler,Maria Margareth
1745,Jochim Falckenburg,Susanna Magdalena Falckenburg
1745,Adam Lautz,Catharina Elisabet Lautz
1745,Andreas Besinger,Maria Elisabeth Besinger
1745,Henrich Kniskern,Elisabeth Kniskern
1745,Andres Haring,Eva Catharina
1745,Anton Engel,Juliana Engel
1745,Johan Nicolas Becker,Elisabeth Beckern
1745,Aston Schulkraf,Catharina Schulkraf
1745,Johan Balthasar Borst,Maria Borst
1745,Johannes Braun,Maria Elisabeth Braun
1745,Barend Kayser,Maria Barbara Wernern
1745,Barend Kayser,Maria Barbara Wernern
1745,Peter Sommer,Maria Sommern
1745,Jurgen Saltsman,Catharina Elisabeth Saltsman
1745,Gustavus Osterod,Anna Maria Osterod
1745,Lambert Sternberg,Catharina Sternberg
1745,Adam Braun,Eva Braun
1745,Johan Wilhelm Bauch,Anna Elisabeth Bauchen
1745,Peter Lowenstein,Abelena Lowenstein
1745,Christian Bauch,Christina Liese Bauchen
1745,Johan Martin Borst,Catharina Borst
1745,Friederich Carl Schell,Barbara Schell
1746,Johannes Nicolaus Lahm,Susanna Margaretha Lahm
1746,Jurgen Henrich Stubrach,Maria Stubrach
1746,Henrich Kniskern,Elisabeth Kniskern
1746,Johan Friecderich Bauch,Magdalena Bauch
1746,Johannes Bauch,Anna Elisabeth Bauchen
1746,Johannes Schafer,Anna Gertraut Schafern
1746,Peter Mesi Vroman,Anna Maria Vroman
1746,Johannes Zahe,Anna Catharina
1746,Dewald Teicher,Cunigunda Teicher
1746,Johan Andres Hering,Eva Catharina
1746,Jacob Friederich Lawyer,Elisabeth Lawyer
1746,Jost Kniskern,Catharina Kniskern
1746,Johannes Lawyer,Catharina Lawyer
1746,Hieronymus Krausler,Maria Margareth
1746,Peter Mann,Anna Margaretha Mann
1746,Getfried Kniskern,Anna Margaretha Kniskern
1746,Jurgen Werner,Dorothea Werner
1746,Johan Balthasar Borst,Maria Borst
1747,Matthes Werner,Anna Barbara
