year,source,target
1786,John Oliver,Clara Sybel
1786,Thomas Bool,Margriet Bool
1786,Johannes Laraway,Eva Laraway
1786,James Rose,Margriet Mill
1786,Helmas Markel,Agnes Oostrum
1786,Arent Van Petten,Engeltie La Grange
1786,Jacob Laraway,Elizabeth Murray
1786,Joachim Van Valkenburg,Catharina Vosburgh
1786,Petrus Warmer,Susannah Berger
1786,Hendrick Swaart,Margriet Ox
1786,Parmeneo Adams,Chloe Nearing
1787,Charles Shafer,Celia Radley
1787,Richard Ward,Margriet Shetterly
1787,Johannes Van Valkenburg,Maria Ward
1787,Peter Alje,Neeltie Sibert
1787,Jacob Sibert,Maritie Radliff
1787,Petrus Van Petten,Annatie Acker
1787,Jacob Mann,Lydia Ausen
1787,Johannes Martin,Maria Freyligh
1787,Frederick Glickman,Maria Quant
1787,John Campbel,Isabel McDonald
1787,Isaac Van Arnum,Catharina Van Wie
1787,Johannes Van Arnum,Jannitie Van Loon
1787,William Davis,Jannitie Relyea
1787,Robert Sievers,Catharina Snyder
1787,Frederick Quant,Maritie Seeger
1787,Sophia Ouderkirk,Jacob Quackenbush
1787,William Van Arnum,Helena Wemple
1787,John Fisher,Molly Keel
1787,Teunis Eckerson,Elizabeth Ostrander
1787,Johannes Sievers,Maria Warmer
1787,Barent Mynderse,Jannitie Van Vranken
1787,Peter Achenbagh,Anna Settle
1787,Nicholas Lamberse,Neeltie Sebring
1787,Richard Brouwer,Margriet Blaine
1787,Alexander McCloed,Eva Wearly
1787,William Hemstreet,Maritie Oliver
1787,Johannes Lenhart,Geertie Lenhart
1787,Samuel Totton,Frances Hopson
1787,Peter Osterhoudt,Elizabeth Van Wagener
1787,Nicholas Vroman,Maria Swits
1787,William Forest,Beletie Forest
1788,Nicholas Countryman,Annatie Berger
1788,Jacob Laraway,Elizabeth Murray
1788,John Wagener,Elizabeth Meyer
1788,Jacob C Truax,Maria Archer
1788,Peter Ouderkirk,Jannitie Winne
1788,John E Winne,Elizabeth Bell
1788,Dennie Relyea,Annatie Van Petten
1788,Thomas Cooper,Lea Cooper
1788,Jurge Sayre,Catharina Terwilleger
1788,Israel Walker,Jane Chism
1788,John Cluet,Helena Quackenbush
1788,Martin Sybel,Maria Bell
1788,Isaias Minkelaar,Rachel Whitaker
1788,William Gibbs,Elizabeth Loring
1788,Conrad Cass,Geertie De Voe
1788,Solomon Sisco,Maria Freeman
1788,William R Ward,Elizabeth Wagener
1788,John Freeman,Rebecca Winne
1788,Benjamin Ward,Annatie Bratt
1788,Samuel Covenhoven,Sara Van Petten
1788,James Tailor,Jane Bruce
1788,John McGee,Annatie Quackenbush
1788,Martin Blessing,Margriet Sybel
1788,Levi Van Aken,Elizabeth Terpenning
1788,Johannes Laraway,Eva Laraway
1788,Johannes Schoolcraft,Maria Truax
1788,Isaac Warmer,Elsie Van Loon
1788,Johannes Acker,Dirk Vroman
1788,Hendrick Vosburgh,Eliza Van Valkenburg
1788,John Oliver,Clara Sybel
1788,Hendrick Van Aken,Maria Terpenning
1789,John Freeman,Rebecca Winne
1789,Isaac Freyer,Catharina Relyea
1789,Philip Fatherly,Rebecca Ramsey
1789,David Relyea,Neeltie La Grange
1789,Evert Van Arnum,Helena Vroman
1789,Petrus Westfael,Barbara Achenbagh
1789,Vincent Springer,Sara Howe
1789,Nicholas Laraway,Neeltie Truax
1789,Johannes Settle,Maria Murray
1789,Peter Relyea,Neeltie Sievers
1789,Joachim Van Valkenburg,Catharina Vosburgh
1789,Hendrick Van Alstyne,Rebecca Rebecca
1789,Jan Cameron,Isabel Mehcondee
1789,Peter Radley,Annatie White
