year,source,target
1700,Daniel Mercereau,Marie Susanne Dousinet
1700,Daniel Mercereau,Joshue Mercereau
1700,Daniel Mercereau,Jeanne Jamain
1700,Marie Susanne Dousinet,Joshue Mercereau
1700,Marie Susanne Dousinet,Jeanne Jamain
1700,Joshue Mercereau,Jeanne Jamain
1688,Ambroise Sicart,Jeanne Perron
1688,Jean Manbrut,Sara Gueneau
1688,Ambroise Sicart,Andre Joulin
1688,Jean Manbrut,Estienne Dousinet Cordonnier
1688,Ambroise Sicart,Madeleine Vincent
1688,Jean Manbrut,wife of Estienne Dousinet Cordonnier
1688,Jeanne Perron,Andre Joulin
1688,Sara Gueneau,Estienne Dousinet Cordonnier
1688,Jeanne Perron,Madeleine Vincent
1688,Sara Gueneau,wife of Estienne Dousinet Cordonnier
1688,Andre Joulin,Madeleine Vincent
1688,Estienne Dousinet Cordonnier,wife of Estienne Dousinet Cordonnier
1689,Rene Rezeau,Anne Coursier
1689,Poncet Stelle,Eugene Legereau
1689,Samuel Bourdet,Judic Piaud
1689,Daniel Poutreau,Marthe Cousseau
1689,Pierre Masse,Elisabeth Mercereau
1689,Daniel Jouet,Marie Coursier
1689,Elie Boudinot,Susanne Papin
1689,Louis Carre,Pregeante Fleuriau
1689,Francois Basset,Marie Madelaine Newkerk
1689,Goncet Bonin,Marie Pontin
1689,Laurens Cornifleau,Marie Anne Nuquerque
1689,Paul Droilhet,Suzanne La Vabre
1689,Rene Rezeau,Luy Rezeau
1689,Poncet Stelle,Jean Boibelleau
1689,Samuel Bourdet,Pierre Boudet
1689,Daniel Poutreau,Pierre Belin
1689,Pierre Masse,Daniel Mercereau
1689,Daniel Jouet,Ezechiel Grazillier
1689,Elie Boudinot,Elie Boudinot
1689,Louis Carre,Gabriel le Boiteulx
1689,Francois Basset,Jean Vincent
1689,Goncet Bonin,Pierre Godefroy
1689,Laurens Cornifleau,Laurens Cornifleau
1689,Paul Droilhet,Jean Papin
1689,Poncet Stelle,Madeleine Vincent
1689,Samuel Bourdet,Jeanne Piaud wife of Soumain
1689,Daniel Poutreau,Susanne DHariette
1689,Pierre Masse,Marie Parre
1689,Daniel Jouet,Susanne DHariette
