year,source,target
1746,Conrad  Kirschner,Anthoy  Erb
1746,John  Graff,Catharina  Alsbach
1746,John Jacob Graff,Catharina  Alsbach
1746,John  Graff,John Jacob Graff
1746,John  Rausch,Magdalena  Rausch
1747,Henry  Mayer,Catharina  Adam
1747,Gabriel  Eisenberger,Eva  Eisenberg
1747,Philip  Faust,Frederick Casimie Miller
1747,Gabriel  Eisenberger,John George Christ
1747,Eva  Eisenberg,John George Christ
1747,Jacob  Leiby,Lorentz  Bekker
1747,Maria  Leiby,Lorentz  Bekker
1747,John  Kiehl,Lorentz  Bloss
1747,Jacob  Leiby,Maria  Leiby
1747,Philip  Faust,Maria Rosina Richter
1747,Frederick Casimie Miller,Maria Rosina Richter
1747,Jacob  Kostenholtz,Simon  Eisenberger
1747,Jacob  Leiby,Wife Of Lorentz Bekker
1747,Maria  Leiby,Wife Of Lorentz Bekker
1747,Lorentz  Bekker,Wife Of Lorentz Bekker
1747,Jacob  Kostenholtz,Wife Of Simon Eisenberger
1747,Simon  Eisenberger,Wife Of Simon Eisenberger
1748,Joost  Hinckel,Abraham  Eschman
1748,John  Graff,Anna Elizabeth Diehl
1748,John  Graff,Anna Elizabeth Diehl
1748,Sebastian  Graff,Anna Elizabeth Diehl
1748,Sebastian  Graff,Anna Elizabeth Diehl
1748,John  Schlieger,Anna Maria 119
1748,Jacob  Wehry,Barbara  Wehry
1748,Reinhard  Alsbach,Catharina  Alsbach
1748,John Jacob Faust,Catharina  Alsbach
1748,Peter  Dunkelberger,Catharina  Dunkelberger
1748,Adam  Damsen,Daniel  Rausch
1748,George  Hag,Daniel  Rausch
1748,Michael  Kelchner,Eva  Dunckel
1748,Michael  Heninger,Eva  Dunckel
1748,Gabriel  Eisenberger,Eva  Eisenberg
1748,Peter  Dunkelberger,Henry  Alsbach
1748,Catharina  Dunkelberger,Henry  Alsbach
1748,John  Kiehl,Jacob  Faust
1748,Phillipina  Faust,Jacob  Faust
1748,Jacob  Wehry,John  Christbaum
1748,Barbara  Wehry,John  Christbaum
1748,Reinhard  Alsbach,John Jacob Faust
1748,Gabriel  Eisenberger,Margriet  Eisenberger
1748,Eva  Eisenberg,Margriet  Eisenberger
