year,source,target
1745,Henry  Wilhelm,Anna Elizabeth Wilhelm
1745,Henry  Wilhelm,Catharina  Weber
1745,Anna Elizabeth Wilhelm,Catharina  Weber
1745,Michael  Beyer,Catharina  Weber
1745,Henry  Wilhelm,Michael  Beyer
1745,Anna Elizabeth Wilhelm,Michael  Beyer
1747,Henry  Wilhelm,Anna Elizabeth Wilhelm
1747,Henry  Wilhelm,John George Scharp
1747,Anna Elizabeth Wilhelm,John George Scharp
1747,Henry  Wilhelm,Maria  Scharp
1747,Anna Elizabeth Wilhelm,Maria  Scharp
1747,John George Scharp,Maria  Scharp
1753,Jacob  Nicholaus,Barbara  Nicholaus
1754,Jacob  Nicholaus,Anna Maria Zeller
1754,Barbara  Nicholaus,Anna Maria Zeller
1754,Henry  Zeller,Anna Maria Zeller
1754,Jacob  Nicholaus,Barbara  Nicholaus
1754,Jacob  Nicholaus,Henry  Zeller
1754,Barbara  Nicholaus,Henry  Zeller
1755,Jacob  Herrmann,Anna Christina Herrmann
1755,Jacob  Herrmann,Anna Herrmann Mann
1755,Anna Christina Herrmann,Anna Herrmann Mann
1755,George  Mann,Anna Herrmann Mann
1755,Anton  Oehler,Anna Margaret Bitner
1755,Michael  Bitner,Anna Margaret Bitner
1755,Jacob  Herrmann,George  Mann
1755,Anna Christina Herrmann,George  Mann
1755,Anton  Oehler,Michael  Bitner
1756,Jacob  Nicholaus,Barbara  Nicholaus
1756,Jacob  Nicholaus,Henry  Zeller
1756,Barbara  Nicholaus,Henry  Zeller
1756,John  Zeller,Henry  Zeller
1756,Jacob  Nicholaus,John  Zeller
1756,Barbara  Nicholaus,John  Zeller
1757,George  Mallo,Anna Barbara Mallo
1757,Jacob  Herrmann,Anna Christina Herrmann
1757,Jacob  Herrmann,Anna Maria Herrmann
1757,Anna Christina Herrmann,Anna Maria Herrmann
1757,George  Mann,Anna Maria Herrmann
1757,Jacob  Nicholaus,Anna Maria Zeller
1757,Barbara  Nicholaus,Anna Maria Zeller
1757,John Henry Zeller,Anna Maria Zeller
1757,George  Mallo,Barbara  Ebermann
1757,Anna Barbara Mallo,Barbara  Ebermann
1757,Michael  Mallo,Barbara  Ebermann
1757,Jacob  Nicholaus,Barbara  Nicholaus
1757,Anton  Oehler,Eliza  Schmidt
1757,John  Bretz,Eliza  Schmidt
1757,Jacob  Herrmann,George  Mann
1757,Anna Christina Herrmann,George  Mann
1757,Anton  Oehler,John  Bretz
1757,Jacob  Nicholaus,John Henry Zeller
1757,Barbara  Nicholaus,John Henry Zeller
1757,George  Mallo,Michael  Mallo
1757,Anna Barbara Mallo,Michael  Mallo
1758,George  Mallo,Anna Barbara Mallo
1758,George  Mallo,Catharina  Foltz
1758,Anna Barbara Mallo,Catharina  Foltz
1758,George  Foltz,Catharina  Foltz
1758,George  Mallo,George  Foltz
1758,Anna Barbara Mallo,George  Foltz
1759,Anton  Oehler,Anna Barbara Schmidt
1759,Jacob  Herrmann,Anna Christina Herrmann
1759,Henry  Preiss,Henry  Ermentraut
1759,Magdalena  Preiss,Henry  Ermentraut
1759,Henry  Preiss,Magdalena  Ermentraut
1759,Magdalena  Preiss,Magdalena  Ermentraut
1759,Henry  Ermentraut,Magdalena  Ermentraut
1759,Henry  Preiss,Magdalena  Preiss
1759,Jacob  Herrmann,Sara  Herrmann
1759,Anna Christina Herrmann,Sara  Herrmann
1759,Theobald  Herrmann,Sara  Herrmann
1759,Jacob  Herrmann,Theobald  Herrmann
1759,Anna Christina Herrmann,Theobald  Herrmann
1760,Jacob  Nicholaus,Anna Catherine Preiss
1760,Barbara  Nicholaus,Anna Catherine Preiss
1760,Jacob  Nicholaus,Barbara  Nicholaus
1760,Jacob  Nicholaus,Daniel  Preiss
1760,Barbara  Nicholaus,Daniel  Preiss
1760,Anna Catherine Preiss,Daniel  Preiss
1760,Henry  Preiss,George Adam Mann
1760,Magdalena  Preiss,George Adam Mann
1760,Henry  Preiss,Herrmann
1760,Magdalena  Preiss,Herrmann
1760,George Adam Mann,Herrmann
1760,Henry  Preiss,Magdalena  Preiss
1761,Elizabeth,Augustin  Preiss
1761,Christopher  Ermentraut,Elizabeth  Ermentraut
1761,Susanna  Ermentraut,Elizabeth  Ermentraut
1761,John Caspar Vogt,Elizabeth  Vogt
1761,John Caspar Vogt,Margriet  Funck
1761,Elizabeth  Vogt,Margriet  Funck
1761,Peter  Funck,Margriet  Funck
1761,John Caspar Vogt,Peter  Funck
1761,Elizabeth  Vogt,Peter  Funck
1761,Christopher  Ermentraut,Susanna  Ermentraut
1761,Elizabeth,Wife Of Augustine Preiss
1761,Augustin  Preiss,Wife Of Augustine Preiss
1762,Catharina,Anna  Fischborn
1762,Philip  Fischborn,Anna  Fischborn
1762,Valentyn  Metzger,Anna Elizabeth Metzger
1762,Christopher  Ermentraut,Anna Maria Gallet
1762,Susanna  Ermentraut,Anna Maria Gallet
1762,Jacob  Nicholaus,Anna Maria Mueller
1762,Barbara  Nicholaus,Anna Maria Mueller
1762,Peter  Mueller,Anna Maria Mueller
1762,Ludwig  Friedal,Barbara
1762,Margriet  Friedal,Barbara
1762,Jacob  Nicholaus,Barbara  Nicholaus
1762,Valentyn  Metzger,Charles  Risch
1762,Anna Elizabeth Metzger,Charles  Risch
1762,Ludwig  Friedal,Margriet  Friedal
1762,Valentyn  Metzger,Maria Elizabeth Risch
1762,Anna Elizabeth Metzger,Maria Elizabeth Risch
1762,Charles  Risch,Maria Elizabeth Risch
1762,Jacob  Nicholaus,Peter  Mueller
1762,Barbara  Nicholaus,Peter  Mueller
1762,Catharina,Philip  Fischborn
1762,Christopher  Ermentraut,Susanna  Ermentraut
1763,George  Mallo,Anna Barbara Mallo
1763,Elizabeth,Anna Catherine Herrmann
