year,source,target
1708,Jacob Weber,Anna Elisabetha Weber
1708,Andeas Volck,Anna Catharina Volck
1709,Johan Michael Schutz,Maria Schutz
1709,Johan Jacob Plettel,Elisabetha Plettel
1709,Melchior Springstein,Gerdraut Springstein
1709,Joseph Practer,Helena Practer
1709,Georg Springstein,Catharina Springstein
1709,Johan Breuen,Christina Breuen
1709,Obadias Winter,Susanna Winter
1709,Samuel Knackli,Emicke Knackli
1709,Samuel Knackli,Emicke Knackli
1709,William Arsen,Elisabetha Arsen
1710,Just Henrich Schaster,Maria Margretha Schafer
1710,Johan Georg Sponheimer,Anna Maria Sponheimer
1710,Sebastian Loscher,Maria Elisabetha Loscher
1710,Johan Grems,Anna Apolonia Grems
1710,Caspar Brendel,Anna Agatha Brendel
1710,Laurenz Schweitzer,Catharina Schweitzer
1710,Jacob Weber,Anna Elisabetha Weber
1710,Johan Fischer,Maria Fischer
1710,Josua Kocherthal,Sibylla Charlotta Kocherthal
1710,Johan Jacob Schnitt,Maria Elisabetha Schnitt
1710,Niclaus Haas,Sabina Haas
1710,Johan Georg Klug,Susanna Klug
1710,Johan Lorentz,Anna Margretha Lorentz
1710,Dietrich Hoffman,Anna Elalia Hoffman
1710,Christian Lauch,Anna Dorothea Lauch
1710,Benedict Wenerich,Christina Wenerich
1710,Johann Dietrich Wanenmacher,Anna Margretha Wanenmacher
1710,Conrad Hettich,Anna Maria Hettich
1710,Johan Georg Schleicher,Anna Margretha Schleicher
1710,Johann Philipp Kreiser,Catharina Kreiser
1710,Johan Beranhard,Anna Maria Beranhard
1710,Johan Feeg,Anna Margretha Feeg
1710,Gerhard Schaster,Anna Maria Schaster
1710,Johan Zach,Anna Magdalena Zach
1710,Christian Castelmann,Anna Maria Judith Castelmann
1710,William Thibaux,Maria Thibaux
1710,William Thibaux,Maria Thibaux
1710,William Thibaux,Maria Thibaux
1710,William Weight,Goodith Weight
1710,Salomon Schutt,Janike Schutt
1711,Henrich Chisem,Anna Chisem
1711,Jacob Porst,Maria Porst
1711,Andeas Volck,Anna Catharina Volck
1711,Georg Luckstad,Elisabetha Lookstad
1711,Benjamin Elswa,Famige Elswa
1711,Isaac Henrickson,Judith Henrickson
1711,Georg Springstein,Catharina Springstein
1711,Johan Brein,Elisabetha Brein
1711,Pieter De Bois,Janike Bois
1711,Ludwig Bertsch,Catharina Bertsch
1711,Johan Planck,Maria Margretha Planck
1711,Andreas Ellich,Anna Rosina Ellich
1711,Michael Pfester,Anna Maria Pfester
1711,Johan Bernhard Luckhard,Justina Luckhard
1711,Wilhelm Jorg,Maria Jorg
1711,Simon Hess,Rosina Haas
1711,Johan Gans,Gerdraut Gans
1711,Frantz Giller,Barbara Giller
1711,Mattheus Cuntz,Anna Margretha Cuntz
1711,Gabriel Hoffman,Susanna Hoffman
1711,Henrich Reiter,Anna Juliana Reuter
1711,Johann Dietrich Castelmann,Anna Castelmann
1711,Johan Henrich Leich,Elisabetha Leich
1711,Niclaus Korner,Anna Magdalena Korner
1711,Johan Henrich Mann,Maria Elisabetha Mann
1711,Michael Storr,Elisabetha Ottilia Storr
1711,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger
1711,Christoph Werner,Magdalena Werner
1711,Peter Voshel,Maria Voshel
1711,Niclaus Staring Zigler,Maria Catharina Zigler
1711,Christian Meyer,Anna Gerdraut Meyer
1711,Johan Emerich,Anna Margretha Emerich
1711,Bernhard Listanius,Anna Maria Listanius
1711,Philip Klumm,Veronica Klumm
1711,Johan Georg Schmid,Anna Elisabetha Schmid
1711,Peter Wickhaus,Elisabetha Maria Wickhaus
1711,Jacob Hoffman,Maria Elisabetha Hoffman
1711,Johan Henrich Widerwachs,Anna Cecillia Widerwachs
1711,Abraham Laugs,Anna Catharina Lauck
1711,Johan Peter Oberbach,Maria Christina Oberbach
1711,Conrad Hostman,Eva Margretha Hostman
1711,Henrich Bois,Wilhelmina Bois
1711,Herman Ranerser,Gertraud Jenicka Ohrstrohm Ranerser
1711,Simon Erhard,Anna Margretha Erhard
1711,Johan Michael Freymeyer,Anna Elisabetha Freymeyer
1711,Henrich Glock,Maria Margretha Glock
1711,Wilhelm Simon,Anna Maria Simon
1711,Henrich Jung,Anna Margretha Jung
1711,Johan Stahl,Anna Ursula Stahl
1711,Gerhard Wallrath,Anna Catharina Wallrath
1711,Albracht Schreiber,Eva Schreiber
1711,Veltin Kuhn,Anna Catharina Kuhn
1711,Hartman Windecker,Barbara Elisabetha Windecker
1711,Daniel Schampnor,Johanna Schampnor
1711,Sebastian Spickermann,Anna Elisabetha Spickermann
1711,Hans Jorg Romer,Elisabetha Romer
1711,Just Henrich Bast,Anna Dorothea Bast
1711,Johan Peter Dippel,Anna Catharina Dippel
1711,Albrecht Dietrich Marterstock,Elisabetha Marterstock
1711,Johan Cuntz,Maria Catharina Cuntz
1711,Johan Wilhelm Dieterich,Anna Margretha Dieterich
1711,Johan Peter Lastner,Magdalena Lastner
1711,Johann Philipp Ruger,Anna Margretha Ruger
1711,Friedrich Merckel,Anna Barbara Merckel
1711,Martin Stein,Anna Maria Stein
1711,Wilhelm Schutt,Helena Schutt
1711,Henrich Meyer,Anna Kunigunda Meyer
1719,Balthasar Anspach,Anna Maria Anspach
1719,Andreas Schurtz,Catharina Appolonia Schurtz
1719,Philip Launert,Anna Margretha Launert
1719,Johan Christian Dieterich,Anna Maria Dieterich
1719,Georg Saltmann,Anna Margretha Saltmann
1719,Just Henrich Schaster,Agnes Schast
1719,Niclaus Ohmich,Anna Catharina Ohmich
1719,Johann Fridrich Merckel,Barbara Merckel
1719,Johan Strauss,Maria Elisabeth Strauss
1719,Herman Hummel,Anna Margretha Hummel
1719,Veit Mossig,Maria Catharina Mossig
1719,Conrad Wust,Maria Apollonia Wust
1719,Niclaus Trombour,Magdalena Trambauer
1719,Albrecht Dietrich Marterstock,Elisabetha Marterstock
1719,Hieronymus Scheib,Anna Catharina Scheib
1719,Johan Emerich,Margaretha Emerich
1719,Christian Meyer,Anna Gerdraut Meyer
1712,Conrad Behringer,Anna Elisabetha Behringer
1712,Philip Peter Grauberger,Anna Barbara Grauberger
1712,Heinrich Mohr,Anna Margretha Mohr
1712,Mattheus Schlemmer,Anna Veronica Schlemmer
1712,Just Henrich Schaster,Agnes Schast
1712,Joseph Reichard,Anna Maria Reichard
1712,Johan Henrich Krantz,Anna Catharina Krantz
1712,Johann Melchior Dausweber,Anna Magdalena Dausweber
1712,Johann Dietrich Wanenmacher,Anna Kunigunda Wanenmacher
1712,Hieronymus Weller,Anna Juliana Weller
1712,Johan Becker,Anna Elisabetha Becker
1712,Johan Wilhelm Brandau,Maria Elisabetha Catharina Brandau
1712,Johan Eberhard,Anna Sibylla Eberhard
1712,Kilian Planck,Juliana Jung Planck
1712,Adam Eckhard,Elisabeth Catharina Eckhard
1712,Peter Janson,Maria Janson
1712,Andeas Volck,Anna Catharina Volck
1712,Rennier Von Husum,Anna Husum
1712,Johan Bond,Janike Bond
1712,Johan Hess,Catharina Hess
1712,Niclaus Trombour,Magdalena Trambauer
1712,Peter Losting,Cornelia Losting
1712,Johan Leer,Sibylla Catharina Leer
1712,Johann Martin Netzbacher,Barbara Elisabetha Netzbacher
1712,Jorg Henrich Stubenrauch,Anna Catharina Stubenrauch
1712,Kilian Munckler,Anna Margretha Munckler
1712,Johann Philipp Finckel,Anna Catharina Finckel
1712,Andreas Finck,Maria Fink
1712,Johann Fridrich Bell,Anna Maria Bell
1712,Jorg Martin Dillenbach,Sara Catharina Dillenbach
1712,Niclaus Feller,Maria Elisabetha Feller
1712,Jacob Kobel,Anna Maria Kobel
1712,Christoph Fuchs,Johanna Elisabetha Fuchs
1712,Conrad Lain,Margretha Lain
1712,Johann Fridrich Maul,Anna Ursula Maul
1712,Peter Gistler,Anna Lucia Gissler
1712,Henrich Spohn,Maria Catharina Spohn
1712,Johan Peter Schmid,Elisabetha Margretha Schmid
1712,Albert Von Loon,Maria Loon
1712,Georg Zufeld,Anna Catharina Zufeld
1712,Georg Zufeld,Anna Catharina Zufeld
1712,Peter Maurer,Anna Catharina Maurer
1712,Adam Hertel,Anna Margretha Hertel
