id,name
0,Gisbert Thyssen
1,Janitie Adrianse
2,Dirk Stofelsz van Langstraet
3,Catharina van Leeuwen
4,Gerrit Snedeker
5,Elsie Teunisz
6,Lucas Stevens van Voorhees
7,Catharina Hanse
8,Haggeus Jansz van Dyk
9,Janitie Lambertsz
10,Arend Isaacksz
11,Stintie Laurens
12,Jan Peters
13,Stintie Hansz
14,William Joris
15,Hendrika Johannes
16,Jan Cornelisz Boomgard
17,Agnietje Stryker
18,Jan Frederiksz van Leeuwen
19,Aeltie Jansz
20,Gerrit Corsz
21,Neeltje Jansz
22,Gerrit Stryker
23,Weintie Kornelis Bogart
24,Elderd Lucasz
25,Stintie Hendriksz
26,Marthen Reyersz
27,Annetje Jorisen Rapelye
28,Roelof Marten Schenk
29,Annatie Peters
30,William Davids
31,Helena Aardsen
32,Paulus Van Der Beek
33,Sara Schouten
34,Teunis Jansen
35,Janitie Jansz Brower
36,Jacob Joris
37,Elizabeth Thomas
38,Adrian Hendriksz
39,Adrian Reyersz
40,Annatie Martens Schenk
41,William van Borkeloo
42,Elizabeth Jansen Woertman
43,Simon Jans van Arsdalen
44,Peterje Klaasen Wykof
45,Jan Gellisz
46,Aeltie Peters
47,Jan Gerrits van Cowenhoven
48,Gerardina De Sille
49,Peter Gilliaumsz
50,Margriet Verschuur
51,Casper van Zuren
52,Louisa van Zuren
53,Lambert Dorland
54,Harmtje Dorland
55,Jacob Hansz Bergen
56,Elsie Frederiks Lubertse van der Kreest
57,Gisbert Jansz
58,Sophia Jansz van Putten
59,Jan Wouters van den Bosh
60,Wyntie Peters
61,Evert Hendriksz
62,Sophia Adams Brower
63,Abraham De Toict
64,Janitie Bocquet
65,Michael Hansz Bergen
66,Emmetie Teunisz
67,Coert Stevens
68,Maritie Gerrits van Cowenhoven
69,Jan Cornelis Buys
70,Machteld Gerritz Buys
71,Cornelius Verwey
72,Hendrika Jans
73,Nicholas Stillwell
74,Catharina Stillwell
75,Richard Michielsz
76, Michielsz
77,Thomas Morgan
78, Morgan
79,William Britton
80,Maria 
81,Maria Britton
82,Dirk Jansen
83,Maria Teunisz
84,Johannes Christofel Schars
85,Maria Willemsz Bennet
86,Aries Jansz van der Bild
87,Hildegond Remsz
88,Cornelius Janse Berrian
89,Janitie Stryker
90,Dirk Storm
91,Maria Peters Monfort
92,Joseph Hegeman
93,Emmetie Roemers
94,Adrian Peters Kinne
95,Willemtie Peters Wyckof
96,Jaques La Resiliere
97,Maria La Resiliere
98,Michael Hainelle
99,Hendrika Strokels
100,Andries Jurianse
101,William Gerrits van Cowenhoven
102,Janitie Peters Monfort
103,Daniel Joris Rapalie
104,Sara Abrahams Clok
105,Laurens Jansen
106,Altje Gillis De Mandeville
107,Christofel Jans Romein
108,Geertie Peters Wyckof
109,Claes Peters Wyckof
110,Sara Peters Monfort
111,Francois De Puys
