id,name
0,John Oliver
1,Clara Sybel
2,Thomas Bool
3,Margriet Bool
4,Johannes Laraway
5,Eva Laraway
6,James Rose
7,Margriet Mill
8,Helmas Markel
9,Agnes Oostrum
10,Arent Van Petten
11,Engeltie La Grange
12,Jacob Laraway
13,Elizabeth Murray
14,Joachim Van Valkenburg
15,Catharina Vosburgh
16,Petrus Warmer
17,Susannah Berger
18,Hendrick Swaart
19,Margriet Ox
20,Parmeneo Adams
21,Chloe Nearing
22,Charles Shafer
23,Celia Radley
24,Richard Ward
25,Margriet Shetterly
26,Johannes Van Valkenburg
27,Maria Ward
28,Peter Alje
29,Neeltie Sibert
30,Jacob Sibert
31,Maritie Radliff
32,Petrus Van Petten
33,Annatie Acker
34,Jacob Mann
35,Lydia Ausen
36,Johannes Martin
37,Maria Freyligh
38,Frederick Glickman
39,Maria Quant
40,John Campbel
41,Isabel McDonald
42,Isaac Van Arnum
43,Catharina Van Wie
44,Johannes Van Arnum
45,Jannitie Van Loon
46,William Davis
47,Jannitie Relyea
48,Robert Sievers
49,Catharina Snyder
50,Frederick Quant
51,Maritie Seeger
52,Sophia Ouderkirk
53,Jacob Quackenbush
54,William Van Arnum
55,Helena Wemple
56,John Fisher
57,Molly Keel
58,Teunis Eckerson
59,Elizabeth Ostrander
60,Johannes Sievers
61,Maria Warmer
62,Barent Mynderse
63,Jannitie Van Vranken
64,Peter Achenbagh
65,Anna Settle
66,Nicholas Lamberse
67,Neeltie Sebring
68,Richard Brouwer
69,Margriet Blaine
70,Alexander McCloed
71,Eva Wearly
72,William Hemstreet
73,Maritie Oliver
74,Johannes Lenhart
75,Geertie Lenhart
76,Samuel Totton
77,Frances Hopson
78,Peter Osterhoudt
79,Elizabeth Van Wagener
80,Nicholas Vroman
81,Maria Swits
82,William Forest
83,Beletie Forest
84,Nicholas Countryman
85,Annatie Berger
86,John Wagener
87,Elizabeth Meyer
88,Jacob C Truax
89,Maria Archer
90,Peter Ouderkirk
91,Jannitie Winne
92,John E Winne
93,Elizabeth Bell
94,Dennie Relyea
95,Annatie Van Petten
96,Thomas Cooper
97,Lea Cooper
98,Jurge Sayre
99,Catharina Terwilleger
100,Israel Walker
101,Jane Chism
102,John Cluet
103,Helena Quackenbush
104,Martin Sybel
105,Maria Bell
106,Isaias Minkelaar
107,Rachel Whitaker
108,William Gibbs
