id,name,gender
0,Daniel Mercereau,male
1,Marie Susanne Dousinet,female
2,Joshue Mercereau,unknown
3,Jeanne Jamain,female
4,Ambroise Sicart,male
5,Jeanne Perron,female
6,Jean Manbrut,male
7,Sara Gueneau,female
8,Andre Joulin,male
9,Estienne Dousinet Cordonnier,unknown
10,Madeleine Vincent,female
11,wife of Estienne Dousinet Cordonnier,unknown
12,Rene Rezeau,male
13,Anne Coursier,female
14,Poncet Stelle,unknown
15,Eugene Legereau,male
16,Samuel Bourdet,male
17,Judic Piaud,unknown
18,Daniel Poutreau,male
19,Marthe Cousseau,female
20,Pierre Masse,male
21,Elisabeth Mercereau,female
22,Daniel Jouet,male
23,Marie Coursier,female
24,Elie Boudinot,male
25,Susanne Papin,female
26,Louis Carre,male
27,Pregeante Fleuriau,unknown
28,Francois Basset,unknown
29,Marie Madelaine Newkerk,female
30,Goncet Bonin,unknown
31,Marie Pontin,female
32,Laurens Cornifleau,male
33,Marie Anne Nuquerque,female
34,Paul Droilhet,male
35,Suzanne La Vabre,female
36,Luy Rezeau,unknown
37,Jean Boibelleau,male
38,Pierre Boudet,male
39,Pierre Belin,male
40,Ezechiel Grazillier,male
41,Gabriel le Boiteulx,male
42,Jean Vincent,male
43,Pierre Godefroy,male
44,Jean Papin,male
45,Jeanne Piaud wife of Soumain,female
46,Susanne DHariette,female
47,Marie Parre,female
48,Marie Brossard,female
49,Marquise Fleuriau,male
50,Susanne Newkerk,female
51,Marie Jamain,female
52,Suzanne Gladeau,female
53,Dorothea van Hertsbergen,female
54,Jean Melet,male
55,Elizabeth Eler,female
56,Jacques Hunt,male
57,Rachel Barcheley,female
58,Joseph Freind,male
59,Susanne Brutel,female
60,Amant Bounin,male
61,Susanne Valleau,female
62,George Derier,male
63,Magdelaine [LeFevre],unknown
64,Francois Carlie,unknown
65,Marie Maurisset,female
66,Pierre Peiret,male
67,Marguerite Latour,female
68,Eugene de Laurier,male
69,Guillaume Howard,male
70,Oliver Bely,male
71,Pierre Bontecour,male
72,Andre Paillet,male
73,Esaie Valleau,unknown
74,Charles Deniseau,male
75,Augustin Huble,male
76,Jean Barberie,male
77,Jean Pierre Melot,male
