,canonical,original
0,Andries,Andreas
5,Andrew,Andrew
7,Jacob,Jacob
10,Johannes,Johannes
12,John,John
17,Mattheus,Matthias
25,Mattheus,Mattheus
26,Michael,Michael
29,Wilhelm,Wilhelm
33,William,William
34,Cunrad,Cunrad
37,Cunrad,Cunrd
38,David,David
39,Christian,Christian
44,Thomas,Thomas
46,Paulus,Paul
50,Philip  Jr,Philip Jr
51,Philip,Philip
55,Isaac,Isaac
56,Christoph,Christoph
62,Gerrit,Gerrit
66,Frederick,Frederick
67,Frederick,Frederik
69,Frid:,Frid:
70,Friederich,Friederich
72,Friederich,Friedrich
73,James,James
75,Alexander,Alexander
77,Henry,Henry
78,Martin,Martin
80,Maria,Mary
81,Susanna,Susanna
82,Peter,Peter
83,Georg,Georg
85,Bernard,Bernard
87,Bernardus,Bernhard
95,John  Philips,Johan Philip
96,Nicol,Nicol
97,Betram,Betram
98,Abraham,Abraham
100,Michael,Michel
108,Thomas  Jr,Thomas Jr
110,Mauras,Mauras
126,Johannes  Teiss,Johannes Teiss
129,Nicholas,Nicolaus
130,Nicolus,Nicolus
138,Margriet,Margareth
144,Johannes Jacob Jr,Johannes Jacob Jr
148,John,Johan
153,Thomas,Tams
154,Moritz,Moritz
155,Richard,Richard
156,Richard,Richrad
161,Patrick,Patrick
167,Charles,Charles
168,Tuny,Tuny
170,Jacob  Jr,Jacob Jr
172,Jacob  Sr,Jacob Sr
179,Daniel,Daniel
183,Cunrad,Conrad
185,Catharina,Catharine
193,Elizabetb,Elizabetb
200,Carl,Carl
205,George,George
207,Caleb,Caleb
214,Moses,Moses
223,Adam,Adam
233,Johannes  Georg,Johannes Georg
236,Godfrey,Godfrey
244,Ebeneazar,Ebeneazar
249,Joseph,Joseph
252,Frederick  Jr,Frederic Jr
255,Frederick  Jr,Frederik Jr
260,Frederick,Friederick
261,Frederick  Jr,Friederik Jr
268,Moritz,Mortiz
278,Kiliaan,Kilian
279,Leonhard,Leonhard
281,Samuel,Samuel
294,Cornelius,Cornelius
297,Wilhelm  Anton,Wilhelm Anton
326,Epharim  Drake,Ephraim Drake
327,Epharim  Drake,Ephriam Drake
347,Caspar,Caspar
354,Jos,Jos
373,Harmen,Herman
375,Simon,Simon
387,Valentin,Valentin
410,Aaron,Aaron
417,Johannes  Jacob,Johannes Jacob
418,Johannes  Wilhelm,Johannes Wilhelm
422,John  Wilhelm,John Wilhelm
439,Benjamin,Benjamin
448,Solomon,Solomon
477,Nathan,Nathan
491,Chritian,Chritian
514,Henrich,Henrich
522,Anton,Anton
555,John  Jr,John Jr
565,Augustus,Augustus
568,Mckactschj,McKactschj
578,Balthes,Balthes
585,Baltus,Balthas
589,Baltus,Balthus
590,Henry  B,Henry B
595,Mattheus,Mathias
611,Id,Id
615,Godfrey,Gottfrey
617,Gottfried,Gottfried
621,Godfrey  Esp,Godfrey Esp
622,Honnes,Honnes
632,Cornelius,Cornellius
638,Harmen  Sr,Herman Sr
678,Sophia,Sophia
681,Yorek,Yorek
696,Gottlieb,Gottlieb
697,Hannah,Hanna
713,Josh,Josh
714,Josh,Joshua
715,Josh,Joshuah
728,Mattheus,Mattheis
745,Robert,Robert
795,Griffit,Griffit
811,Lucas,Lucas
813,John  Georg,John Georg
820,T  Wilhelm,T Wilhelm
826,Ezekiel,Ezekiel
837,Christina,Christina
844,Anna  Gertroud,Anna Gertroud
845,Anna,Anna
854,Catharina,Catharina
864,Tuny,Dinah
871,Elizabeth,Elisabeth
874,Sussy,Sussy
876,Magdalena,Magdalena
883,Cornelia,Cornelia
891,Maria,Maria
899,Sara,Sarah
906,Anna  Catharine,Anna Catharine
915,Anna  Maria,Anna Maria
919,Rachel,Rachel
920,Maria  Barbara,Maria Barbara
928,Margriet,Marg
935,Beggj,Beggj
938,Esther,Esther
943,Anna  Barbara,Anna Barbara
944,Betsy,Betsey
945,Abigail,Abigail
947,Margriet,Margaryt
949,Betsy,Betsi
950,Betsy,Betsy
957,Margriet,Margaretha
958,Peggy,Peggi
959,Peggy,Peggy
962,Eva  Maria,Eva Maria
971,Dorothea,Dorothy
977,Elizabeth,Elizabeth
981,Phoebe,Phoebe
983,Rosina,Rosina
984,Helena,Helena
993,Barbara,Barbara
1011,Anna  Gertroud,Anna Gertroat
1012,Anna  Margareta,Anna Margareta
1013,Patience,Patience
1018,Cathar:,Cathar:
1021,Catharina,Catharna
1023,Maria  Elisabeth,Maria Elisabeth
1044,Geertruy,Gertruyd
1058,Eva,Eva
1060,Catharina  Barbara,Cathar Barbara
1062,Catharina  Barbara,Catharine Barbara
1074,Helena,Lena
1079,Hannah,Hannah
1086,Eleanora,Eleanora
1087,Selletje,Selletje
1118,Bolly,Bolly
1120,Dorothea,Dorothea
1131,Sally,Selly
1134,Maria  Barbara,Mary Barbara
1156,Rebecca,Rebecca
1164,Maria  Dorothy,Maria Dorothy
1165,Experience,Experience
1175,John,Jenny
1179,Mollj,Mollj
1180,Molly,Molly
1184,Geertie,Gerretje
1188,Geertje,Geretje
1200,Charity,Charity
1203,Margary,Margary
1220,Gertroud,Gertroud
1225,Anna  Margaretha,Anna Margaretha
1226,Marethe,Martha
1229,Bollj,Bollj
1242,Disbeje,Disbeje
1246,Catharina,Chatharina
1255,Aeltie,Altje
1256,Veronica  Gertroud,Fronica Gertrout
1283,Margriet,Margharyt
1284,Margretha,Margretha
1287,Susanna,Susannah
1297,Juliana,Juliana
1298,Juliana,Julianna
1312,Phoebe,Faeby
1314,Nancy,Nancy
1330,Jennj,Jennj
1345,Maria  Rosina,Maria Rosina
1351,Elizabeth,Elisabet
1356,Baetie,Betty
1357,Maria  Amack,Mary Amack
1358,Anna  Elisabeth,Anna Elizabeth
1359,Eleanora,Eleonora
1361,Anna,Anna***
1374,Sina,Sina
1385,Neeltie,Nelly
1388,Catharina,Catherine
1389,Catharina,Caty
1392,Beggj,Peggj
1393,Nellj,Nellj
1398,Mauras,Mercy
1399,Facnnj,Facnnj
1400,Faennj,Faennj
1401,Fanny,Fanny
1404,Margriet,Margaret
1419,Adelyne,Adelyne
1432,Adelyne,Adelina
1454,Gertroud,Gertraut
1456,Christina,Christiana
1474,John,Jane
1475,Sukkj,Sukkj
1480,Elsie,Elsje
1489,Veronica,Fronica
1507,Anistina,Anistina
1522,Dolly,Dolly
1525,Debora,Debora
1533,Elizabeth,Elizabetha
1553,Anna  Margarera,Anna Margarera
1560,Dellj,Dellj
1564,Dolly,Delly
