,canonical,original
0,Hendrick  Martensen,Hendrick Martensen
1,Jane  Jansen,Jan Jansen
2,Jacob  Barentsen,Jacob Barentsen
3,Andries  Barentsen,Andries Barentsen
4,Geertruy Jansen Van Campen,Geert Jansen van Campen
5,Mattheus  Roelofse,Mattheus Roelofse
6,Aard Pietersen Tack,Aard Pietersen Tack
7,Jurian  Westfael,Jurian Westvael
8,Lowi  Duboi,Lowi Duboi
9,Evert  Pels,Evert Pels
10,Peter  Winnen,Peter Winnen
11,Roelof  Swartwout,Roelof Swartwout
12,Jane  Williams,Jan Willemsen
13,Dirk Claesse De Wit,Dirk Claesse de With
14,Antoine  Crepel,Antoine Crepel
15,Jane  Broersen,Jan Broersen
16,Michael  Verree,Michael Verree
17,Peter Van Aalen,Peter van Aalen
18,Harman  Henderickse,Harman Hendricksen
20,Peter  Jacobs,Peter Jacobsen
22,Hendrick  Jochemsen,Hendrick Jochemsen
23,Christofel  Davids,Christofel Davids
24,Jane Janse Van Amesfoort,Jan Janse van Amesfoort
26,Jacob  Jooste,Jacob Joosten
27,Barent  Harmensen,Barent Harmensen
28,Jurian  Westfael,Jurian Westvall
30,Francis  Lozier,Francois Lesier
31,Jane Jansen Van Oosterwout,Jan Jansen van Oosterwout
33,Lammert  Huybersen,Lammert Huybersen
34,Dirk Claessen De Wit,Dirk Claessen de With
35,Jane Barentsen Kunst,Jan Barentsen Kunst
37,Albert Heymensen Roose,Albert Heymensen Roose
38,Arend  Tuenesse,Arend Tuenesse
39,Joost  Arentsen,Joost Arentsen
40,William  Beekman,William Beeckman
41,Gisbert Van Imbroeck,Gisbert van Imbroeck
43,Louis Du Boys,Louis du Boey
44,Hendrick  Arentsen,Hendrick Arentsen
45,Albert  Jansen,Albert Jansen
47,Ballerand Du Mont,Ballerand du Mont
49,Jacob Barentsen Kool,Jacob Barentsen Cool
50,Jane  Gerretsen,Jan Gerretsen
52,Dirk  Henderickse,Dirk Hendricksen
53,Cornelius Cornelisse Vernoy,Cornelius Cornelisse Vernoy
57,Francis  Leeseer,Francois Leeseer
58,Jane Jansen Van Amesfoort,Jan Jansen van Amesfoort
59,Paulus  Pels,Paulus Poulesse
60,Roelof  Henderickse,Roelof Hendricksen
62,Mennonites Of Friesland,Mennonites of Friesland
63,Frederick  Hussei,Frederick Hussei
64,Jacob  Jansen,Jacob Jansen
66,Lambert  Huybersen,Lambert Huybersen
68,Aaron Van Laar,Arien van Laar
70,Jurian  Westfael,Jurian Westvaal
73,Jane Jansen Van Oosterwout,Jan Jansen van Oosterhout
75,Hendrick  Aardsen,Hendrick Aertsen
76,Daniel  Broodheed,Daniel Broodheed
78,Louis  Dubois,Louis Duboeys
79,Waldron Du Mont,Waldron du Mond
82,Cornelius Cornelisse Vernoy,Cornelius Cornelisse Vernoey
86,Frederick  Horsjes,Frerick Horsjes
88,Frederick  Petersen,Frederick Pietersen
92,Wilhelm  Beekman,Wilhelm Beeckman
93,Jane Jansen Van Oosterwout,Jan Jansen Van Oosterhout
94,Dirk Claessen De Wit,Dirk Claesen de Wit
95,Antoine  Crepel,Antoine Crupel
96,Jane  Tysen,Jan Tysen
97,Cornelius  Wynkoop,Cornelius Wynkoop
98,Jane  Henderickse,Jan Hendricksen
99,Geertruy  Cornelisz,Geert Cornelissen
100,Jacob  Elmendorp,Jacobus Elmendorp
101,Antoine  Koeck,Antoine Koeck
103,Reynier Vander Kool,Reynier vander Coely
105,Jacob Yansen Van Etten,Jacob Yansen Van Etten
106,Frederick  Hussei,Frederick Hussy
107,Louis Du Boys,Louis du Booys
108,Dirk  Keyser,Dirk Keyser
112,William  Jansen,William Jansen
115,Warner  Horenbeeck,Warner Horenbeeck
116,Cornelius  Fynhout,Cornelius Fynhout
118,Joost  Adriaensen,Joost Adriaensen
