id,name,gender
0,Gisbert Thyssen,male
1,Janitie Adrianse,unknown
2,Dirk Stofelsz van Langstraet,male
3,Catharina van Leeuwen,female
4,Gerrit Snedeker,mostly_male
5,Elsie Teunisz,female
6,Lucas Stevens van Voorhees,male
7,Catharina Hanse,female
8,Haggeus Jansz van Dyk,unknown
9,Janitie Lambertsz,unknown
10,Arend Isaacksz,male
11,Stintie Laurens,unknown
12,Jan Peters,male
13,Stintie Hansz,unknown
14,William Joris,male
15,Hendrika Johannes,female
16,Jan Cornelisz Boomgard,male
17,Agnietje Stryker,unknown
18,Jan Frederiksz van Leeuwen,male
19,Aeltie Jansz,unknown
20,Gerrit Corsz,mostly_male
21,Neeltje Jansz,female
22,Gerrit Stryker,mostly_male
23,Weintie Kornelis Bogart,unknown
24,Elderd Lucasz,unknown
25,Stintie Hendriksz,unknown
26,Marthen Reyersz,unknown
27,Annetje Jorisen Rapelye,unknown
28,Roelof Marten Schenk,male
29,Annatie Peters,unknown
30,William Davids,male
31,Helena Aardsen,female
32,Paulus Van Der Beek,male
33,Sara Schouten,female
34,Teunis Jansen,male
35,Janitie Jansz Brower,unknown
36,Jacob Joris,male
37,Elizabeth Thomas,female
38,Adrian Hendriksz,male
39,Adrian Reyersz,male
40,Annatie Martens Schenk,unknown
41,William van Borkeloo,male
42,Elizabeth Jansen Woertman,female
43,Simon Jans van Arsdalen,male
44,Peterje Klaasen Wykof,unknown
45,Jan Gellisz,male
46,Aeltie Peters,unknown
47,Jan Gerrits van Cowenhoven,male
48,Gerardina De Sille,female
49,Peter Gilliaumsz,male
50,Margriet Verschuur,mostly_female
51,Casper van Zuren,male
52,Louisa van Zuren,female
53,Lambert Dorland,male
54,Harmtje Dorland,unknown
55,Jacob Hansz Bergen,male
56,Elsie Frederiks Lubertse van der Kreest,female
57,Gisbert Jansz,male
58,Sophia Jansz van Putten,female
59,Jan Wouters van den Bosh,male
60,Wyntie Peters,unknown
61,Evert Hendriksz,male
62,Sophia Adams Brower,female
63,Abraham De Toict,male
64,Janitie Bocquet,unknown
65,Michael Hansz Bergen,male
66,Emmetie Teunisz,unknown
67,Coert Stevens,male
68,Maritie Gerrits van Cowenhoven,unknown
69,Jan Cornelis Buys,male
70,Machteld Gerritz Buys,female
71,Cornelius Verwey,male
72,Hendrika Jans,female
73,Nicholas Stillwell,male
74,Catharina Stillwell,female
75,Richard Michielsz,male
76, Michielsz,unknown
77,Thomas Morgan,male
78, Morgan,unknown
79,William Britton,male
80,Maria,female
81,Maria Britton,female
82,Dirk Jansen,male
83,Maria Teunisz,female
84,Johannes Christofel Schars,male
85,Maria Willemsz Bennet,female
86,Aries Jansz van der Bild,unknown
87,Hildegond Remsz,unknown
88,Cornelius Janse Berrian,male
89,Janitie Stryker,unknown
90,Dirk Storm,male
91,Maria Peters Monfort,female
92,Joseph Hegeman,male
93,Emmetie Roemers,unknown
94,Adrian Peters Kinne,male
95,Willemtie Peters Wyckof,unknown
96,Jaques La Resiliere,unknown
97,Maria La Resiliere,female
98,Michael Hainelle,male
99,Hendrika Strokels,female
100,Andries Jurianse,male
101,William Gerrits van Cowenhoven,male
102,Janitie Peters Monfort,unknown
103,Daniel Joris Rapalie,male
104,Sara Abrahams Clok,female
105,Laurens Jansen,male
106,Altje Gillis De Mandeville,female
107,Christofel Jans Romein,unknown
108,Geertie Peters Wyckof,unknown
109,Claes Peters Wyckof,male
110,Sara Peters Monfort,female
111,Francois De Puys,unknown
112,Geertie Willemsz,unknown
113,Hendrick Corsz Vroom,male
114,Josina Peters van Nest,female
115,Jacob Beauvois,male
116,Maria Joosten,female
117,Jan Hansz Bergen,male
118,Janitie Teunisz,unknown
119,Jan Teunisz,male
120,Maria Peters,female
121,Jaques Boulon,unknown
122,Adriantie Corilon,unknown
123,Jacob Hendriksz,male
124,Geesje Bartholds,female
125,Johannes Casparsz,male
126,Maria Casparsz,female
127,Paulus Merlet,male
128,Elizabeth Bushwick,female
129,Laurens Jurianse,male
130,Cunira Peters,unknown
131,Harman Hendriksz,unknown
132,Margriet Sodder,mostly_female
133,Peter Monfort,male
134,Joost Duiere,male
135,Magdalena Duiere,female
136,Harman Hey,unknown
137,Tryntie Jans van Ditmarsen,unknown
138,Clement Salomens,male
139,Johanna Salomens,female
140,Antoine du Chesne,male
141,Anna Bocke,female
142,Jurian Blanck,male
143,Hester Van Der Beek,female
144,Cornelius Jansz de Zeeuw,male
145,Geertie Kolfs,unknown
146,Gisbert Mathysz,male
147,Janitie Ariens,unknown
148,Catalina Hanse,female
149,Cornelius Peters Wyckof,male
150,Geertie Simons van Arsdalen,unknown
151,William Brouwer,male
152,Elsie Brouwer,female
153,Jan Aukes,male
154,Barbara Provost,female
155,Antoine van Pelt,male
156,Magdalena van Pelt,female
157,Jan Aardsz,male
158,Adriantie Cornelis,unknown
159,Cornelius Barentsz van der Wyck,male
160,Anna Polhemius,female
161,Francois Joosten,unknown
162,Geertie Aukes,unknown
163,Cornelius Jans van de Veer,male
164,Tryntie Aaltje Gillis,unknown
165,Jan Leurst,male
166,Rachel Dirks,female
167,Jan Stevens van Voorhees,male
168,Cornelia Reiniers Wizzelpennig,female
169,Lambert Jansz Dorland,male
170,Tietje Barends,female
171,Joris Hansz Bergen,male
172,Sara Stryker,female
173,Reinier Arendsz,male
174,Janitie Aukes,unknown
175,Titus Sirachsz De Vries,male
176,Louisa Hellenius,female
177,Jacob Verdon,male
178,Annatie Jansz,unknown
179,Adrian Willemsz Bennet,male
180,Agnietje Jansz van Dyk,unknown
181,Josias Golers,unknown
182,Neeltje Claas,female
183,Theodore Polhemius,male
184,Artie Teunis Bogard,mostly_male
185,Albert Alberts,male
186,Hendrika Stevens van Voorhees,female
187,Jan Jansen van Ditmarschen,male
188,Adriantie Jansen van Ditmarschen,unknown
189,Daniel Verveelen,male
190,Aeltie Schaats,unknown
191,William Jansen,male
192,Beletie Mathyssen,unknown
193,Abraham Marles,male
194,Christina Peters,female
195,Dirk Paulusz,male
196,Aagje Teunis,female
197,Jan Gerritz,male
198,Elizabeth Gysberts,female
199,Hans Christoffelsz,male
200,Tryntie Barends,unknown
201,Michael Pietersz Parlamentier,male
202,Neeltje Jans Damen,female
203,Barent Tice,unknown
204,Magdalena Jansz,female
205,Peter Jansen,male
206,Maritie Jansen,unknown
207,Jacob Gerritsz Haas,male
208,Stintie Corsen,unknown
209,Margriet Gerritz,mostly_female
210,Hendrick Rycke,male
211,Ida Jacobs,female
212,Thomas Paris,male
213,Janitie Paris,unknown
214,Agatha Elbertsz Stoothoff,female
215,Simon Aardsz van der Hard,male
216,Geertie Aardsz van der Hard,unknown
217,Jan Damen,male
218,Sophia Martens,female
219,Catalina Teunis Bogard,female
220,Arend Pral,male
221,Maria Pral,female
222,Stoffel Jans Romein,male
223,Thomas Heckkon,male
224,Elizabeth of Jam,female
225,Peter Hendriksz,male
226,Annetje Jurianse,unknown
227,Daniel Stillwell,male
228,Maria Stillwell,female
229,Hendrick Willemsz,male
230,Maritie Adrianse,unknown
231,Gisbrecht Jansz van Dyk,unknown
232,Sophia Jansz,female
233,Bourgon Broucard,unknown
234,Catharina Broucard,female
235,Barent Jurianse,unknown
236,Aeltie Stevens van Voorhees,unknown
237,Cornelius Barendz Teunes,male
238,Cornelia Hendriks Brinkhorst,female
239,Hendrick Matthys Smak,male
240,Annatie Tilemans,unknown
241,Laurens Cornelis,male
242,Margriet Barends,mostly_female
243,Joachim Gulik,male
244,Magdalena Teunis van Pelt,female
245,Peter Schamp,male
246,Janitie Dirks,unknown
247,Hildegond Roemers,unknown
248,Gerardus Beekman,male
249,Magdalena Abeel,female
250,Hendrick Teunisz,male
251,Annetje Meinards,unknown
252,Jan Karsten,male
253,Maria Elias Daas,female
254,Peter Jansz Loisen,male
255,Sara Kolfs,female
256,Gerrit Lubbertsz,mostly_male
257,Geertruid Willemsz,unknown
258,Joost Casparsz,male
259,Janitie Hansz,unknown
260,Sara Monfort,female
261,Geertie Harmans,unknown
262,Gerrit Christoffelsz,mostly_male
263,Elizabeth Cornelis,female
264,Harmptje Jansz,unknown
265,Jan Peterz Makelie,male
266,Harman van Bursum,unknown
267,Wybrecht Hendriksz,unknown
268,Thomas Willet,male
269,Hilletie Elbertsz Stoothoff,unknown
270,Dirk Jans Veerman,male
271,Janitie Monfort,unknown
272,Jan Hasbeek,male
273,Anna Duyo,female
274,Peter Duyo,male
275,Agnietje Vieque,unknown
276,Melchert Casparsz,male
277,Geertie Bartholds from the other side,unknown
278,Gisbrecht Mathysz,unknown
279,Ferdinand van Sicklen,male
280,Eva Antonis,female
281,Karel Jansz van Dyk,male
282,Elizabeth van der Hard,female
283,Swaan a Negro,unknown
284,Christina a Negro,female
285,Maria Gransen,female
286,Annetje Bocquet,unknown
287,Paulus,male
288,Elizabeth Paulus,female
289,Hendrick Jansz van Dyk,male
290,Jacob Peters,male
291,Maritie Adams Brower,unknown
292,Evertje Jansz,unknown
293,Laurens Jurriansz HoforStof,male
294,Jan Clement,male
295,Maria Bocquet,female
296,Reinier Jansz,male
297,Elizabeth van Ravestein,female
298,Hendrick Claasz Vechten,male
299,Janitie of Bedford,unknown
300,Dirk Jansz Hoogland,male
301,Annetje Feddens,unknown
302,Cornelius Corsz Vroom,male
303,Maritie Jacobs van der Grift,unknown
304,Thomas Jansz van Dyk,male
305,Francois DePui,unknown
306,Jan Barends,male
307,Maritie Simons van Arsdalen,unknown
308,Jaques Guyon,unknown
309,Sara,female
310,Jan Martens,male
