id,name,gender,race
0,1774,unknown,white
1,John Nicolaus Hettrick,male,white
2,Casper Kobel,male,white
3,Anna Maria Kobel,female,white
4,George Hendrick Reitz,male,white
5,Valentine Rebock,female,white
6,Henrich Kobel,male,white
7,Daniel Kobel,male,white
8,Maria Barbara Kobel,female,white
9,Max  Hahn,male,white
10,Peter Schmidt,male,white
11,Anna Cath Hettrick,female,white
12,Peter  Schmidt,male,white
13,Barbara  Rebock,female,white
14,Henrich Baumgardener,male,white
15,Maria Magdalena Baumgardener,female,white
16,Elizabeth  Schmidt,female,white
17,Johannes Phillips,male,white
18,Magdalena  Philips,female,white
19,Wilhelm  Forster,male,white
20,Johannes Nicholas Hettrick,male,white
21,John Nicolaus Hettrick,male,white
22,1775,unknown,white
23,Wilhelm Thompson,male,white
24,Christoph Hetterich,male,white
25,Nicol Hetterick,female,white
26,Jacob Ochsenreiter,male,white
27,Barbara  Ochsenreiter,female,white
28,Anna Barbara Hetterich,female,white
29,Henrich  Baumgardener,male,white
30,Hendrick  Baumgardener,male,white
31,Jacob Minniam,male,white
32,Johannes Ried,male,white
33,Maria Dorothea Ried,female,white
34,George  Reitz,male,white
35,[Noname]  Thompson,unknown,white
36,Nicholas  Brosius,male,white
37,Anna Maria Minniam,female,white
38,Johannes Fisher,male,white
39,Wilhelm Forster,male,white
40,Magdalena  Forster,female,white
41,Peter Fisher,male,white
42,Anna Maria Schmidt,female,white
43,John  Harter,male,white
44,Henrich Kohler,male,white
45,Elizabeth  Fisher,female,white
46,Elizabeth  Kohler,female,white
47,Ludwig Schreyer,male,white
48,Catharina  Schaefer,female,white
49,Hann  Schreyer,unknown,white
50,Georg Heim,male,white
51,Rosina  Heim,female,white
52,George Hendrick Kaufman,male,white
53,Anna Catherine Hettrick,female,white
54,John Adan Schaefer,male,white
55,Carl Hendrick Kaufman,male,white
56,1776,unknown,white
57,George Furster,male,white
58,Johannes Miller,male,white
59,Morte Burgart,unknown,white
60,Elizabeth  Burgart,female,white
61,Esaia  Althaus,unknown,white
62,Daniel Kable,male,white
63,Philip Kunselman,male,white
64,Johannes Lips,male,white
65,Catharina  Fisher,female,white
66,John  Kenis,male,white
67,Peter Troutman,male,white
68,Elizabeth  Troutman,female,white
69,Philip  Klinger,male,white
70,Anna Maria Miller,female,white
71,Barbara  Kunselman,female,white
72,Johannes Hendrick Schreckengast,male,white
73,Maria Catherine Schreckengast,female,white
74,Maria Elizabeth Groninger,female,white
75,Georg  Heim,male,white
76,John  Ried,male,white
77,Agnes  Forster,female,white
78,Catharina  Lips,female,white
79,Peter  Forster,male,white
80,John Hendrick Groninger,male,white
81,John  Kohlmann,male,white
82,1777,unknown,white
83,Peter Furster,male,white
84,Elizabeth Maria Forster,female,white
85,George  Forster,male,white
86,John George Furst,male,white
87,Caspar Kobel,male,white
88,Catharina  Kobel,female,white
89,Caspar  Ried,male,white
90,William Thomson,male,white
91,Helena Child Grivy Thomassen,female,white
92,Maria Barbara Minniam,female,white
93,HEYL(?):  Martin,unknown,white
94,Philip Lofler,male,white
95,Elias Althaus,male,white
96,Christ Dunkelberger,male,white
97,Andrew  Ketterlin,male,white
98,Georg Heym,male,white
99,Georg Hendrick Kaufman,male,white
100,Catharina Barbara Althaus,female,white
101,Agnes  Furst,female,white
102,Catharina  154,female,white
103,Peter Albert,male,white
104,Regina  Albert,female,white
105,Johannes  Pfeiffer,male,white
106,Elizabeth  Dunkelberger,female,white
107,George  Pfeiffer,male,white
108,Johannes  Harter,male,white
109,1779,unknown,white
110,Johan Bingeman,male,white
111,Johann Phillips,male,white
112,1780,unknown,white
113,Wilhelm Forst,male,white
114,Magdalena  Furst,female,white
115,Heinrich Kohler,male,white
116,Martin Zartman,male,white
117,Susannah  Zartman,female,white
118,Henderich  Zartman,unknown,white
119,BROSIUS;  John Georg,unknown,white
120,Maria  Catherine,female,white
121,John Nicolaus Brosius,male,white
122,John Nicolaus Brosius,male,white
123,Maria  Brosius,female,white
124,1781,unknown,white
125,Elizabeth Twins Schmidt,female,white
126,Henrich Reitz,male,white
127,Henry  Zartman,male,white
128,Henry Groninger,male,white
129,Maria  Groninger,female,white
130,Andries  Ried,male,white
131,Eleanore  Reitz,female,white
132,Michael Rohd,male,white
133,John Michael Groninger,male,white
134,1782,unknown,white
135,Michael Schaefer,male,white
136,Maria Catherine Hedtrick,female,white
137,Caspar Schneider,male,white
138,Elizabeth  Schneider,female,white
139,John Georg Furst,male,white
140,Johannes Bingmann,male,white
141,Catharina  Lofler,female,white
142,Philip Klinger,male,white
143,Conrad Nicolaus,male,white
144,Andreas Reitz,male,white
145,John George Borell,male,white
146,Regina  Schutern,female,white
147,John (Henry) George Brosius,male,white
148,John Heim,male,white
149,Mathias Winkelmann,male,white
150,Anna Barbara Nicolaus,female,white
151,Peter  Heim,male,white
152,Peter Forster,male,white
153,Anna Maria Klinger,female,white
154,Catharina  Heim,female,white
155,Leonhardt Kerstetter,male,white
