congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
albany-drc,dutch reformed,0.034718070722399,male_bridge,84,1724,male,0,0,Gerrit Lansing,white,1683
albany-drc,dutch reformed,0.009991397444321,false,39,1724,female,1,0,Elizabeth Wendel,white,1683
albany-drc,dutch reformed,0.016316929987173,male_bridge,50,1724,male,2,0,Evert Wendel,white,1683
albany-drc,dutch reformed,0.000308355080736,false,7,1724,female,3,1,Dorothe Bogart,white,1712
albany-drc,dutch reformed,0.00108916241904,false,11,1724,female,4,1,Catalina Van Deuse,white,1702
albany-drc,dutch reformed,4.63730223871315E-05,false,5,1724,female,5,1,Joan Oothout,white,1722
albany-drc,dutch reformed,0.000418666654512,false,8,1724,male,6,1,Willem Van Deuse,white,1703
albany-drc,dutch reformed,0.000675198424033,false,10,1724,male,7,1,Pieter Bogardus,white,1684
albany-drc,dutch reformed,0,false,2,1724,female,8,1,Catalina Schoonmaker,white,1724
albany-drc,dutch reformed,0.002184833413583,false,15,1724,male,9,2,Thomas Van Aalsteyn,white,1700
albany-drc,dutch reformed,0,false,2,1724,female,10,2,Eva Van Aalsteyn,white,1724
albany-drc,dutch reformed,0.016529923290612,false,52,1724,male,11,2,Johannes Mingal,white,1688
albany-drc,dutch reformed,0.003376549603655,male_bridge,7,1724,male,12,3,Thomas Scharp,white,1693
albany-drc,dutch reformed,0,false,1,1724,male,13,3,John Olyvier,white,1724
albany-drc,dutch reformed,0.00454642904518,false,29,1724,male,14,1,Jonas Douw,white,1699
albany-drc,dutch reformed,0,false,1,1724,female,15,3,Margaret Olyvier,white,1724
albany-drc,dutch reformed,9.4548105213251E-05,false,5,1724,male,16,1,Matthys Garmo,white,1722
albany-drc,dutch reformed,0.000930207300212,false,6,1724,male,17,1,Abraham Van Arnhem,white,1720
albany-drc,dutch reformed,0.00067984520536,male_bridge,4,1724,male,18,4,Jacob Evertsz,white,1718
albany-drc,dutch reformed,0.00073883790749,false,12,1724,female,19,4,Elizabeth Bratt,white,1706
albany-drc,dutch reformed,0.005810473988688,false,27,1724,male,20,5,Gerrit Van Nes,white,1699
albany-drc,dutch reformed,1.74104664076649E-05,false,2,1724,female,21,1,Engeltje Van den Berg,white,1724
albany-drc,dutch reformed,0.032197830298928,male_bridge,71,1724,male,22,6,Gerrit Van den Berg,white,1701
albany-drc,dutch reformed,0.003785769925562,false,18,1724,female,23,0,Helena Lansing,white,1706
albany-drc,dutch reformed,6.62980956407909E-05,false,3,1724,male,24,13,Hessie Van Arnhem,white,1718
albany-drc,dutch reformed,0.025114972134262,male_bridge,59,1724,male,25,4,Jacob Lansing,white,1700
albany-drc,dutch reformed,0.002920162135703,male_bridge,6,1724,male,26,8,Roelof Kidney,white,1721
albany-drc,dutch reformed,0,false,1,1724,male,27,8,Johannes Kidney,white,1724
albany-drc,dutch reformed,0.000135275756943,false,2,1724,female,28,9,Maritie Kidney,white,1714
albany-drc,dutch reformed,0,false,3,1724,male,29,6,Wilhelm Van den Berg,white,1722
albany-drc,dutch reformed,0.004075414081498,false,18,1724,male,30,5,Ephraim Wendel,white,1712
albany-drc,dutch reformed,0.00475268003861,false,28,1724,female,31,10,Catalina Schuyler,white,1688
albany-drc,dutch reformed,0,false,2,1724,male,32,5,Dirk Van Scherluyn,white,1724
albany-drc,dutch reformed,0.002480217130802,false,21,1724,male,33,4,Barent Eckbertsen,white,1705
albany-drc,dutch reformed,0.001922898368447,false,14,1724,male,34,5,Goosse Kip,white,1689
albany-drc,dutch reformed,0.002443084131967,false,12,1724,male,35,1,Johannes De Garmeau,white,1720
albany-drc,dutch reformed,0.002702863291179,male_bridge,4,1724,male,36,5,Thomas Davids,white,1722
albany-drc,dutch reformed,0.001351579542912,male_bridge,3,1724,male,37,5,John Beasely,white,1724
albany-drc,dutch reformed,0,false,1,1724,female,38,5,Alida Beasely,white,1724
albany-drc,dutch reformed,0.000827233665973,male_bridge,6,1724,male,39,3,Jonas Bronk,white,1713
albany-drc,dutch reformed,0,false,1,1724,female,40,3,Catherine Conyn,white,1724
albany-drc,dutch reformed,0.004807692537077,male_bridge,25,1724,male,41,4,Frederik Myndertse,white,1707
albany-drc,dutch reformed,0,false,1,1724,female,42,4,Catherine Livingston,white,1724
