congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
caughnawaga-drc,dutch reformed,0.054962400233592,male_bridge,16,1776,male,0,0,Ephraim Wemp,white,1760
caughnawaga-drc,dutch reformed,0.001277727622974,false,5,1776,female,1,0,Anganieta Wemple,white,1760
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,male,4,1,Philip Helmer,white,1760
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,female,5,1,Elizabeth Herris,white,1760
caughnawaga-drc,dutch reformed,0.147605012950313,false,23,1776,male,6,2,Hendrick Vrooman,white,1760
caughnawaga-drc,dutch reformed,0.003030023520155,false,9,1776,female,7,2,Neeltie Veeder,white,1760
caughnawaga-drc,dutch reformed,0.071358626629182,false,18,1776,male,8,3,Johannes Veeder,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,female,9,17,Catharina Mabee,white,1761
caughnawaga-drc,dutch reformed,0.058752238764456,false,12,1776,male,10,17,Johannes Leenderson,white,1761
caughnawaga-drc,dutch reformed,0.000915073789201,false,5,1776,female,11,17,Anna Stanhouse,white,1761
caughnawaga-drc,dutch reformed,0.027773162829058,male_bridge,9,1776,male,12,0,William Snoch,white,1761
caughnawaga-drc,dutch reformed,0.01532825425645,false,6,1776,female,13,0,Catharina Kleyn,white,1761
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,male,14,1,Cornelius Potman,white,1761
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,female,15,1,Elizabeth Pruyn,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,male,18,0,Charles a Negro,Black,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,female,19,0,Susanna Primis,white,1761
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,male,20,2,Johan Dederk Meyer,white,1761
caughnawaga-drc,dutch reformed,0.002857107620461,false,5,1776,female,21,2,Osseltje Thomas,white,1761
caughnawaga-drc,dutch reformed,0.008891336526641,false,5,1776,male,22,0,William Olin,white,1761
caughnawaga-drc,dutch reformed,0.050564510095304,false,11,1776,female,23,0,Ariaantie Wemp,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,male,24,6,Johannes Clement,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,female,25,6,Rachel Reddely,white,1761
caughnawaga-drc,dutch reformed,0.007375857759296,false,5,1776,male,26,9,John Schot Quackenbush,white,1761
caughnawaga-drc,dutch reformed,0.007375857759296,false,5,1776,female,27,9,Elsje Staats,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,male,28,18,Jacob Hall,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,female,29,18,Elizabeth Snoch,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,male,32,11,Joseph Cain,white,1761
caughnawaga-drc,dutch reformed,0,false,3,1776,female,33,11,Catharina Cain,white,1761
caughnawaga-drc,dutch reformed,0.025662940539169,male_bridge,10,1776,male,34,2,Hendrick Wemp,white,1762
caughnawaga-drc,dutch reformed,0.011418511899029,false,7,1776,female,35,2,Eva Van Eps,white,1762
caughnawaga-drc,dutch reformed,0.004933971880949,false,7,1776,male,36,3,Johannes Miller,white,1762
caughnawaga-drc,dutch reformed,0.004933971880949,false,7,1776,female,37,3,Catharina Philipse,white,1762
caughnawaga-drc,dutch reformed,0,false,3,1776,male,38,13,Stephanus Jordan,white,1762
caughnawaga-drc,dutch reformed,0,false,3,1776,female,39,13,Margaret Bellony,white,1762
caughnawaga-drc,dutch reformed,0.098043280940524,false,12,1776,male,40,13,Jacob Kitts,white,1762
caughnawaga-drc,dutch reformed,0.002068376013553,false,7,1776,female,41,13,Eva Service,white,1762
caughnawaga-drc,dutch reformed,0.011329767772648,false,5,1776,male,42,20,John Butler,white,1762
