congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0.0108048372328,male_bridge,5,1769,male,0,15,Jacob Wyckoff,white,1747
flatlands-drc,dutch reformed,0,false,1,1767,male,1,15,Jan Wyckoff,white,1747
flatlands-drc,dutch reformed,0.033191623422986,male_bridge,7,1776,male,6,17,David Sprong,white,1747
flatlands-drc,dutch reformed,0.011568697961671,male_bridge,6,1782,male,7,17,Cornelius Van Duyn,white,1747
flatlands-drc,dutch reformed,0.01083641185943,male_bridge,6,1774,male,8,2,Jacob Lott,white,1747
flatlands-drc,dutch reformed,0,false,2,1767,male,9,2,Jannis Remsen,white,1747
flatlands-drc,dutch reformed,0.001989929757979,false,3,1768,female,15,17,wife of Cornelis Van Duyn,white,1747
flatlands-drc,dutch reformed,0,false,2,1767,female,16,2,Geertie Remsen,white,1747
flatlands-drc,dutch reformed,0.013005588708914,male_bridge,4,1802,male,21,11,Adrian Hegeman,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,male,22,11,Petrus Petrus,white,1748
flatlands-drc,dutch reformed,0.021606517002937,male_bridge,5,1777,male,23,1,Abraham Emans,white,1748
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,3,1802,male,24,1,Hendrick Emans,white,1748
flatlands-drc,dutch reformed,0.008676707397935,male_bridge,4,1779,male,25,5,James Hubbard,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,female,26,5,Rebecca Hubbard,white,1748
flatlands-drc,dutch reformed,0.013095447225882,female_bridge,10,1802,female,27,15,Sara Amerman,white,1748
flatlands-drc,dutch reformed,0.046954627261533,male_bridge,7,1786,male,30,6,Jan Leffersen,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,male,31,6,Peter Leffersen,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,female,32,17,Sara Van Kerck,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,female,34,11,Adriantie Petrus,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,female,35,1,Cornelia Emans,white,1748
flatlands-drc,dutch reformed,0,false,2,1768,female,36,5,wife of Cornelis Stryker,white,1748
flatlands-drc,dutch reformed,0.342983658811353,false,19,1802,male,37,15,Peter Wyckoff,white,1748
flatlands-drc,dutch reformed,0.030036942313157,male_bridge,5,1795,male,39,6,Sytie Suydam,white,1748
flatlands-drc,dutch reformed,0,false,1,1769,male,40,17,Sytie Sprong,white,1749
flatlands-drc,dutch reformed,0,false,1,1769,male,41,3,Drickus Van Dyck,white,1749
flatlands-drc,dutch reformed,0.232585014682201,female_bridge,8,1777,female,42,3,The parents,white,1749
flatlands-drc,dutch reformed,0.199967368506259,male_bridge,7,1777,male,43,8,Jan Amerman,white,1750
flatlands-drc,dutch reformed,0.099554186328316,male_bridge,17,1802,male,44,1,Volkert Sprong,white,1749
flatlands-drc,dutch reformed,0.059770768210666,male_bridge,9,1802,male,45,5,Jacob Rider,white,1749
flatlands-drc,dutch reformed,0,false,2,1769,male,46,5,Adrian Voorhees,white,1749
flatlands-drc,dutch reformed,0,false,1,1769,male,47,3,Cornelius Van Sise,white,1749
flatlands-drc,dutch reformed,0.071971203940513,male_bridge,8,1787,male,48,10,Hendrick Lott,white,1751
flatlands-drc,dutch reformed,0.097601768887898,female_bridge,12,1791,female,51,6,Geertie Covenhoven,white,1749
flatlands-drc,dutch reformed,0.083050493974706,false,9,1802,male,52,11,William Covenhoven,white,1749
flatlands-drc,dutch reformed,0.073425215496827,male_bridge,5,1783,male,53,12,Godfrey Heyn,white,1749
flatlands-drc,dutch reformed,0.002088661551577,false,3,1781,male,54,12,Hendrick Elderse,white,1749
flatlands-drc,dutch reformed,0.294147159095156,male_bridge,16,1802,male,57,2,Abraham Voorhees,white,1749
flatlands-drc,dutch reformed,0,false,2,1769,male,58,2,Jan Liuksen,white,1749
flatlands-drc,dutch reformed,4.73619399450601E-05,false,4,1778,male,59,15,Cornelius Wyckoff,white,1749
flatlands-drc,dutch reformed,0.056737052281484,female_bridge,7,1802,female,60,11,Sara Wyckoff,white,1750
flatlands-drc,dutch reformed,0,false,2,1769,female,61,1,Sara Schenck,white,1749
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,3,1800,female,62,5,Phoebe Rider,white,1749
flatlands-drc,dutch reformed,0.02806097981506,female_bridge,7,1783,female,64,14,Annatie Voorhees,white,1749
flatlands-drc,dutch reformed,0.162270190891968,female_bridge,16,1802,female,65,15,Geertie Wyckoff,white,1749
flatlands-drc,dutch reformed,0.035550966995127,false,13,1802,female,67,2,Adriantie Leffersen,white,1749
flatlands-drc,dutch reformed,0,false,2,1769,female,68,15,Anna Elisabeth Sweet,white,1749
flatlands-drc,dutch reformed,0.055958132045088,male_bridge,7,1787,male,69,12,Jan Schenck,white,1750
flatlands-drc,dutch reformed,0.012986643932936,female_bridge,3,1801,female,70,12,Margriet Hegeman,white,1750
flatlands-drc,dutch reformed,0.019315012558863,male_bridge,9,1782,male,71,14,Constyn Golnek,white,1750
flatlands-drc,dutch reformed,0,false,3,1770,male,72,14,Jacob Ryerse,white,1750
flatlands-drc,dutch reformed,0.036530264279625,male_bridge,12,1802,male,75,16,Joost Van Nuys,white,1752
flatlands-drc,dutch reformed,0,false,3,1790,female,76,16,Elizabeth Emans,white,1770
flatlands-drc,dutch reformed,0,false,3,1770,male,78,14,Jan Ryerson,white,1750
flatlands-drc,dutch reformed,0.003610335731528,false,4,1798,female,79,17,Annatie Emans,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,male,84,14,Evert Suydam,white,1751
flatlands-drc,dutch reformed,0.04625993564047,male_bridge,12,1802,male,85,14,Hendrick Suydam,white,1751
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,2,1776,male,88,3,James Berry,white,1751
flatlands-drc,dutch reformed,0,false,1,1771,male,89,3,Edderie Berry,white,1751
flatlands-drc,dutch reformed,0.224107227432036,male_bridge,2,1773,male,90,3,Jan Monfoort,white,1751
flatlands-drc,dutch reformed,0.021606517002937,male_bridge,8,1802,male,92,10,Johannes Van Sicklen,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,male,93,10,Cornelius Cornelis,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,female,94,17,wife of Jan Van Kerk,white,1751
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,3,1783,female,97,14,Geertie Van Wicklen,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,male,99,17,Sytie Van Deventer,white,1751
flatlands-drc,dutch reformed,0,false,2,1771,female,101,10,Catharina Van Sickel,white,1751
flatlands-drc,dutch reformed,0.004357298474946,male_bridge,5,1802,male,104,16,Wilhelm Van Nuys,white,1752
