id,name,gender
0,Jan Heyert,male
1,Maria Heyert,female
2,Jan Laurens,male
3,Maritie Laurens,unknown
4,Casper Springsteen,male
5,Maria Springsteen,female
6,Hendrick Abramse Van Lent,male
7,Catharina Abramse Van Lent,female
8,Francoys Giljon,unknown
9,Resula Giljon,unknown
10,Mattheus Davids,unknown
11,Debora Davids,female
12,Kellem Quorey,unknown
13,Janitie Quory,unknown
14,Gerrit Van Waert,mostly_male
15,Cathalyna Van Waert,unknown
16,Jan Herrikze Krankheit,male
17,Geertie Herrikze Krankheit,unknown
18,Cornelius Van Tessel,male
19,Annatie Van Tessel,unknown
20,Albert Gardenier,male
21,Maritie Gardenier,unknown
22,Abraham Sybout,male
23,Annatie Sybout,unknown
24,Jan Fousy,male
25,Eva Fousy,female
26,William de Pue,male
27,Betty de Pue,female
28,Robert Williams,male
29,Geesje Williams,female
30,David Storm,male
31,Esther Storm,female
32,Wolfert Ecker,unknown
33,Maritie Ecker,unknown
34,William Hendrickze,male
35,Magdalena Hendrickze,female
36,Nathan Bailey,male
37,Esther Kenniff,female
38,Peter Storm,male
39,Gerrit Storm,mostly_male
40,Jacob Van Tessel,male
41,Aeltie Van Tessel,unknown
42,Sammel Brouwer,unknown
43,Geertie Brouwer,unknown
44,Abraham Wybrant,male
45,Geertie Wybrant,unknown
46,Thomas Heyert,male
47,Elizabeth Heyert,female
48,Barent de Witt,unknown
49,Sara de Witt,female
50,Elizabeth de Pue,female
51,Jacobus Sie,male
52,Catharina Sie,female
53,Hendrick Storm,male
54,Niesse Storm,unknown
55,Deleverens Canckle,unknown
56,Engeltie Canckle,unknown
57,Gregorius Storm,unknown
58,Engeltie Storm,unknown
59,Andries Van Dyck,male
60,Geesje Van Dyck,female
61,Lourens Mathyse,male
62,Janitie Mathyse,unknown
63,Herrick Van Lent,unknown
64,Cornelia Van Lent,female
65,Peter Sie,male
66,Petronella Sie,female
67,Barent Duytser,unknown
68,Maria Duytser,female
69,Maria Laurens,female
70,William Van Tessel,male
71,Wyntie Krankheit,unknown
72,Jan Emmitte,male
73,Engeltie Emmitte,unknown
74,Samuel Canckle,male
75,Annatie Canckle,unknown
76,Jeronimus Van Beyeren,unknown
77,Johanna Van Beyeren,female
78,Johannes Schuerman,male
79,Johanna Schuerman,female
80,Abel Schmidt,male
81,Tryntje Schmidt,unknown
82,Jan Claessen,male
83,Tryntje Claessen,unknown
84,Abraham Hendrickze,male
85,Maria Hendrickze,female
86,Rachel Heyert,female
87,Isaac Sie,male
88,Annatie Sie,unknown
89,Albert Minnelay,male
90,Meenske Minnelay,unknown
91,David Davids,male
92,Janitie Davids,unknown
93,Jan Fosuer,male
94,Eva Fosuer,female
95,Frans Giljon,male
96,Janitie Giljon,unknown
97,Jan Van Tessel,male
98,Catharina Van Tessel,female
99,Harman Montras,unknown
100,Geertie Montras,unknown
101,Jacob Van Waert,male
102,Beletie Van Waert,unknown
103,Hendrick Lamberts,male
104,Dirckje Lamberts,unknown
105,Lodewick Ackerman,unknown
106,Hillegond Bosch,unknown
107,Jan Buys,male
108,Elizabeth Buys,female
109,Jan Krankheit,male
110,Geertie Krankheit,unknown
111,Ryck Van Lent,unknown
112,Elizabeth Van Lent,female
