year,date,parents 1,parents 2,child,sponsors 1,sponsors 2,sponsors 3,sponsors 4,sponsors 5,parent last,sponsors 1 first,sponsors 1 middle,sponsors 1 last,sponsors 2 middle,sponsors 2 last,sponsors 2 first,sponsors 3 middle,sponsors 3 last,sponsors 3 first
1708,Sep 14,Jacob Weber,Anna Elisabetha Weber,"Johann Hermann bap on ship ""Globe""",Hermannus Schuneman,Johan Roth,,,,Weber,Hermannus,,Schuneman,,Roth,Johan,,,
1708,Nov 28,Andeas Volck,Anna Catharina Volck,"Carolus bap on ship ""Globe""",Carolus Congreve,,,,,Volck,Carolus,,Congreve,,,,,,
1709,Jan 23,Johan Michael Schutz,Maria Schutz,Jannicke,Justus Falckner,Daniel Lutken,Jannicke Schutz,,,Schutz,Justus,,Falckner,,Luetken,Daniel,,Schutz,Jannicke
1709,Feb 23,Johan Jacob Plettel,Elisabetha Plettel,Johannes,Johan Fischer,Anna Maria Weigand,,,,Plettel,Johannes,,Fischer,Maria,Weigand,Anna,,,
1709,Jul 17,Melchior Springstein,Gerdraut Springstein,Samuel,Peter Migrigri,Gerdraut Letisha Migrigri,,,,Springstein,Peter,,Migrigri,Letisha,Migrigri,Gerdraut,,,
1709,Jul 17,Joseph Practer,Helena Practer,Joseph,Jacob Weber,Anna Catharine Weigand,,,,Practer,Jacob,,Weber,Catherina,Weigand,Anna,,,
1709,Jul 17,Georg Springstein,Catharina Springstein,Maria,Peter Janson,Maria Janson,,,,Springstein,Peter,,Janson,,Janson,Maria,,,
1709,Jul 19,Johan Breuen,Christina Breuen,Margretha,Peter Migrigri,Gerdraut Letisha Migrigri,,,,Breuen,Peter,,Migrigri,Letisha,Migrigri,Gerdraut,,,
1709,Jul 19,Obadias Winter,Susanna Winter,Lydia,Andeas Volck,Anna Catharina Volck,,,,Winter,Andeas,,Volck,Catharina,Volck,Anna,,,
1709,Jul 19,Samuel Knackli,Emicke Knackli,Peter Samuel,Peter Rees,Peter Heu,,,,Knackli,Peter,,Rees,,Heu,Peter,,,
1709,Jul 19,Samuel Knackli,Emicke Knackli,Johannes,Johan Fischer,Maria Fischer,,,,Knackli,Johan,,Fischer,,Fischer,Maria,,,
1709,Jul 19,William Arsen,Elisabetha Arsen,Wilhelm,Johan Henrich Nahrung,Anna Maria Weigand,,,,Arsen,Johan,Henrich,Nahrung,Maria,Weigand,Anna,,,
1710,Apr 12,Just Henrich Schaster,Maria Margretha Schafer,"Elisabetha bap on ship ""Midfort""",Johan Leonhard Rud,Anna Elisabehta Castelmann,,,,Schafer,Johan,Leonhard,Rud,Elisabehta,Castelmann,Anna,,,
1710,May 12,Johan Georg Sponheimer,Anna Maria Sponheimer,"Anna; Margretha bap on ship ""Midfort""",Johan Valentin Bander,Anna Margretha Bander,,,,Sponheimer,Johan,Valentin,Bander,Margretha,Bander,Anna,,,
1710,Jun 1,Sebastian Loscher,Maria Elisabetha Loscher,"Maria;; Elisabetha bap on ship ""Midfort""",Johan Muller,Elisabetha Muller,,,,Loscher,Johan,,Muller,,Muller,Elisabetha,,,
1710,Jun 1,Johan Grems,Anna Apolonia Grems,"William bap on ship ""Midfort""",William Fowles,,,,,Grems,William,,Fowles,,,,,,
1710,May 2,Caspar Brendel,Anna Agatha Brendel,"Anna; Margretha bap on ship ""Leon""",,Anna Margretha Gobel,,,,Brendel,,,,Margretha,Gobel,Anna,,,
1710,Apr 17,Laurenz Schweitzer,Catharina Schweitzer,Johann Heinrich bap in Colony on Quasaic Kill,Henrich Rennau,Johanna Rennau,,,,Schweitzer,Henrich,,Rennau,,Rennau,Johanna,,,
1710,Apr 19,Jacob Weber,Anna Elisabetha Weber,Johannes bap in Colony on Quasaic Kill,Michael Weigand,Anna Catharine Weigand,,,,Weber,Michael,,Weigand,Catharine,Weigand,Anna,,,
1710,Apr 19,Johan Fischer,Maria Fischer,Margretha bap in Colony on Quasaic Kill,William Saderland,wife of William Saderland,,,,Fischer,William,,Saderland,of William,Saderland,wife,,,
1710,Feb 28,Josua Kocherthal,Sibylla Charlotta Kocherthal,Louisa Abigail b Feb 26 bap at NY,Daniel Lutken,Abigail Lispenaer,,,,Kocherthal,Daniel,,Lutken,,Lispenaer,Abigail,,,
1710,Jun ?,Johan Jacob Schnitt,Maria Elisabetha Schnitt,Johanna;; Elisabetha bap at NY,Johan Adolph Artopoeus,Barbara Elisabetha Chamboray,Jonathan Chamboray,,,Schnitt,Johan,Adolph,Artopoeus,Elisabetha,Chamboray,Barbara,,Chamboray,Jonathan
1710,Jun ?,Philip Muller,,Johan Philipp bap at NY,Philip Zerb,Maria Catharina Blanck,,,,Muller,Philip,,Zerb,Catharina,Blanck,Maria,,,
1710,Jun ?,Abraham Neus,,Anna;; Elisabetha bap at NY,Johan Lamed,Anna Elisabetha Lamed,,,,Neus,Johannes,,Lamed,Elisabetha,Lamed,Anna,,,
1710,Jun ?,Niclaus Haas,Sabina Haas,Anna;; Elisabetha bap at NY,,Anna Barbara Dippel,,,,Haas,,,,Barbara,Dippel,Anna,,,
1710,Jun ?,Johan Georg Klug,Susanna Klug,Johannes bap at NY,Johan Manges,Anna Maria Busch,,,,Klug,Johan,,Manges,Maria,Busch,Anna,,,
1710,Jul 11,Johan Lorentz,Anna Margretha Lorentz,Alexander bap at NY,Alexander Rosenquest,Elisabetha Eswe,,,,Lorentz,Alexander,,Rosenquest,,Eswe,Elisabetha,,,
1710,Aug 20,Dietrich Hoffman,Anna Elalia Hoffman,Anna; Maria bap at NY,,Anna Maria Hofmann,,,,Hoffman,,,,Maria,Hofmann,Anna,,,
1710,Aug 21,Christian Lauch,Anna Dorothea Lauch,Anna; Margretha bap at NY,Laurens Henrich Kurtz,Maria Margretha Kurtz,,,,Lauch,Laurens,Henrich,Kurtz,Margretha,Kurtz,Maria,,,
1710,Aug 25,Benedict Wenerich,Christina Wenerich,Johannes bap at NY,Ananias Dihl,,,,,Wenerich,Hananias,,Dihl,,,,,,
1710,Aug 27,Johann Dietrich Wanenmacher,Anna Margretha Wanenmacher,Johann Michael bap at NY,Michael Storr,,,,,Wanenmacher,Michael,,Storr,,,,,,
1710,Sep 3,Conrad Hettich,Anna Maria Hettich,Johannes bap at NY,Johan Wihs,,,,,Hettich,Johan,,Wihs,,,,,,
1710,Sep 10,Johan Georg Schleicher,Anna Margretha Schleicher,Johann Adam bap at NY,Johan Peter Hagedorn,Maria Elisabetha Lucka,Adam Michael Schmid,,,Schleicher,Johan,Peter,Hagedorn,Elisabetha,Lucka,Maria,Michael,Schmid,Adam
1710,Sep 13,Johann Philipp Kreiser,Catharina Kreiser,Johann Henrich bap in NY,Henrich Mehs,Valentin Presler,,,,Kreiser,Henrich,,Mehs,,Presler,Valentin,,,
1710,Sep 22,Johan Beranhard,Anna Maria Beranhard,Elisabetha bap in NY,Elisabetha Beranhard,,,,,Beranhard,Elisabetha,,Beranhard,,,,,,
1710,Sep 24,Johan Feeg,Anna Margretha Feeg,Maria; Margretha bap in NY,Johan Jacob Zisch,Anna Maria Feeg,Margaretha Kuntz,,,Feeg,Johan,Jacob,Zisch,Maria,Feeg,Anna,,Kuntz,Margaretha
1710,Sep 24,Gerhard Schaster,Anna Maria Schaster,Maria Sophia bap in NY,Johan Zach,Maria Apollonia Wust,Anna Sophia Lasch,,,Schaster,Johan,,Zach,Apollonia,Wust,Maria,Sophia,Lasch,Anna
1710,Sep 29,Johan Zach,Anna Magdalena Zach,Johann Adam bap in NY,Johan Adam Lasch,,,,,Zach,Johan,Adam,Lasch,,,,,,
1710,Oct 20,Christian Castelmann,Anna Maria Judith Castelmann,Eva; Catharina bap in NY,Johan Michael Waidknacht,Elisabetha Muller,,,,Castelmann,Johan,Michael,Waidknacht,,Muller,Elisabetha,,,
1710,Oct 22,William Thibaux,Maria Thibaux,"Elias b. Jul 22, 1704 bap in NY",,,,,,Thibaux,,,,,,,,,
1710,Oct 22,William Thibaux,Maria Thibaux,"Job b. Feb 7, 1706 bap in NY",,,,,,Thibaux,,,,,,,,,
1710,Oct 22,William Thibaux,Maria Thibaux,"Maria b. May 13, 1710 bap in NY",,,,,,Thibaux,,,,,,,,,
1710,Dec 1,William Weight,Goodith Weight,Isaac b. Aug 3 bap in NY,Abraham Von Thesen,Jacobina Andreas Rees,,,,Weight,Abraham,Von,Thesen,Andreas,Rees,Jacobina,,,
1710,Dec 3,Salomon Schutt,Janike Schutt,Henricus b. Aug__? bap in NY,Henrich Zisom,Anna Zisom,,,,Schutt,Henrich,,Zisom,,Zisom,Anna,,,
1711,Mar 6,Henrich Chisem,Anna Chisem,Robert b. Mar 4 bap in NY,Wilhelm Schutt,Helena Schutt,,,,Chisem,Wilhelm,,Schutt,,Schutt,Helena,,,
1711,Mar 25,Jacob Porst,Maria Porst,Jacob bap in NY,Wilhelm Jorick ,Anna Maria Zipperl,Margaretha Weishard,wife of Wilhelm Jorick,Henrich Lorentz,Porst,Wilhelm,Jorick,,Maria,Zipperl,Anna,,Weishard,Margaretha
1711,Apr 7,Andeas Volck,Anna Catharina Volck,"Anna; Maria b. Oct 24, 1710 bap @ Saderlands,Q'kill",Johan Fischer,wife of Johan Fischer,,,,Volck,Johannes,,Fischer,of Johannes,Fischer,wife,,,
